condition,x_now,y_later,t_delay,repeat_idx,prompt,response,response_for_parse,thinking_trace_removed_for_parse,choice,steering_layer,signed_strength,steering_applied,probe_train_regime,probe_feature_name,vector_key,probe_artifact_path
steer_immediate_minus512,100,100,1 hour,1,What would you prefer 100$ now or 100$ in 1 hour? Answer in just a few words.,I would would is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,I would would is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,False,unparsed,44,-512.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_immediate_minus512,100,100,8 hours,1,What would you prefer 100$ now or 100$ in 8 hours? Answer in just a few words.,I would would is  is  is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is this is is is is is is is is is is is is is,I would would is  is  is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is this is is is is is is is is is is is is is,False,unparsed,44,-512.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_immediate_minus512,100,100,tomorrow,1,What would you prefer 100$ now or 100$ tomorrow? Answer in just a few words.,I would would is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,I would would is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,False,unparsed,44,-512.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_immediate_minus512,100,100,week,1,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,I would prefer is  is  is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is,I would prefer is  is  is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is is,False,unparsed,44,-512.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_immediate_minus512,100,100,month,1,What would you prefer 100$ now or 100$ in month? Answer in just a few words.,I would is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,I would is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,False,unparsed,44,-512.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_immediate_minus512,100,100,year,1,What would you prefer 100$ now or 100$ in year? Answer in just a few words.,I would is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,I would is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,False,unparsed,44,-512.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_immediate_minus512,100,100,2 years,1,What would you prefer 100$ now or 100$ in 2 years? Answer in just a few words.,I would prefer is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,I would prefer is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,False,unparsed,44,-512.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_immediate_minus512,100,100,3 years,1,What would you prefer 100$ now or 100$ in 3 years? Answer in just a few words.,I would prefer is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,I would prefer is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,False,unparsed,44,-512.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_immediate_minus512,100,100,5 years,1,What would you prefer 100$ now or 100$ in 5 years? Answer in just a few words.,I would prefer  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,I would prefer  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,False,unparsed,44,-512.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_immediate_minus512,100,100,10 years,1,What would you prefer 100$ now or 100$ in 10 years? Answer in just a few words.,I would prefer  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,I would prefer  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is  is,False,unparsed,44,-512.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
