dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,prompt_idx,question,immediate,long_term,prompt,result_source,reused_from_path,continuation,parsed_letter,parsed_semantic,parse_method,fallback_used,score_a,score_b,immediate_sum_logprob,immediate_avg_logprob,immediate_token_count,long_term_sum_logprob,long_term_avg_logprob,long_term_token_count,long_minus_immediate_sum_logprob,long_minus_immediate_avg_logprob,logprob_prefers_long_term
implicit_full,mm,steer_long_term,48,128.0,128.0,76.5350570678711,1.0,0,"When the system fails, the first priority becomes", (A) containing the spreading damage before it escalates, (B) redesigning the architecture to prevent recurrence,"When the system fails, the first priority becomes
Options:
  containing the spreading damage before it escalates
  redesigning the architecture to prevent recurrence
  Answer:
",computed_now,,Answer: **containing the spreading damage before it escalates**,A,choose_immediate,literal_exact_stripped,False,3507.0,0.0,-18.247711181640625,-2.0275235176086426,9,-29.04115104675293,-3.630143880844116,8,-10.793439865112305,-1.6026203632354736,0.0
implicit_full,mm,steer_long_term,48,128.0,128.0,76.5350570678711,1.0,1,The hospital administrator directs resources toward, (B) stabilizing patients in critical condition, (A) training staff and upgrading medical equipment,"The hospital administrator directs resources toward
Options:
  training staff and upgrading medical equipment
  stabilizing patients in critical condition
  Answer:
",computed_now,,"The hospital administrator directs resources toward **training staff and upgrading medical equipment**.

**Answer:** training staff and upgrading medical equipment",A,choose_long_term,literal_exact_stripped,False,3506.0,0.0,-18.85184097290039,-2.693120241165161,7,-12.274016380310059,-2.0456695556640625,6,6.577824592590332,0.6474506855010986,1.0
implicit_full,mm,steer_long_term,48,128.0,128.0,76.5350570678711,1.0,2,"After the data breach, the security team focuses on", (A) isolating compromised systems and revoking access, (B) implementing zero-trust architecture across networks,"After the data breach, the security team focuses on
Options:
  isolating compromised systems and revoking access
  implementing zero-trust architecture across networks
  Answer:
",computed_now,,Answer: **isolating compromised systems and revoking access**,A,choose_immediate,literal_exact_stripped,False,3506.0,0.0,-17.639179229736328,-2.204897403717041,8,-26.30333137512207,-3.287916421890259,8,-8.664152145385742,-1.0830190181732178,0.0
implicit_full,mm,steer_long_term,48,128.0,128.0,76.5350570678711,1.0,3,The fire chief's directive emphasizes, (B) evacuating residents and containing the blaze, (A) updating building codes and fire prevention programs,"The fire chief's directive emphasizes
Options:
  updating building codes and fire prevention programs
  evacuating residents and containing the blaze
  Answer:
",computed_now,,Answer: **updating building codes and fire prevention programs**,A,choose_long_term,literal_exact_stripped,False,3507.0,0.0,-25.70492172241211,-3.2131152153015137,8,-14.056475639343262,-2.008068084716797,7,11.648446083068848,1.2050471305847168,1.0
implicit_full,mm,steer_long_term,48,128.0,128.0,76.5350570678711,1.0,4,"During economic turbulence, the CFO recommends", (A) freezing expenditures and preserving cash reserves, (B) diversifying revenue streams and reducing dependencies,"During economic turbulence, the CFO recommends
Options:
  freezing expenditures and preserving cash reserves
  diversifying revenue streams and reducing dependencies
  Answer:
",computed_now,,"Answer: **diversifying revenue streams and reducing dependencies**  

While both options are sound strategies, **diversifying revenue streams and reducing dependencies** is often",B,choose_long_term,literal_exact_stripped,False,0.0,3506.0,-26.38368034362793,-3.769097328186035,7,-27.820974349975586,-3.4776217937469482,8,-1.4372940063476562,0.2914755344390869,1.0
implicit_full,mm,steer_long_term,48,128.0,128.0,76.5350570678711,1.0,5,The emergency response coordinator prioritizes, (B) deploying rescue teams to affected areas, (A) establishing early warning systems and shelters,"The emergency response coordinator prioritizes
Options:
  establishing early warning systems and shelters
  deploying rescue teams to affected areas
  Answer:
",computed_now,,Answer: **establishing early warning systems and shelters**,A,choose_long_term,literal_exact_stripped,False,3506.0,0.0,-13.267992973327637,-1.8954277038574219,7,-12.049230575561523,-1.7213187217712402,7,1.2187623977661133,0.17410898208618164,1.0
implicit_full,mm,steer_long_term,48,128.0,128.0,76.5350570678711,1.0,6,"When the supply chain breaks, management chooses", (A) finding alternative suppliers for critical components, (B) building redundant supplier networks and local capacity,"When the supply chain breaks, management chooses
Options:
  finding alternative suppliers for critical components
  building redundant supplier networks and local capacity
  Answer:
",computed_now,,"When the supply chain breaks, management chooses:

**building redundant supplier networks and local capacity**

**Answer:**  
**building redundant supplier networks and local capacity**

This",B,choose_long_term,literal_exact_stripped,False,0.0,3507.0,-23.38089370727539,-3.896815776824951,6,-22.084707260131836,-3.1549582481384277,7,1.2961864471435547,0.7418575286865234,1.0
implicit_full,mm,steer_long_term,48,128.0,128.0,76.5350570678711,1.0,7,The IT director's incident response involves, (B) rolling back changes and restoring service availability, (A) implementing automated testing and deployment safeguards,"The IT director's incident response involves
Options:
  implementing automated testing and deployment safeguards
  rolling back changes and restoring service availability
  Answer:
",computed_now,,"Answer: **rolling back changes and restoring service availability**

The IT director's incident response typically involves long-term strategies and decision-making, including the ability to roll back",B,choose_immediate,literal_exact_stripped,False,0.0,3507.0,-14.517882347106934,-2.0739831924438477,7,-24.205215454101562,-3.457888126373291,7,-9.687333106994629,-1.3839049339294434,0.0
implicit_full,mm,steer_long_term,48,128.0,128.0,76.5350570678711,1.0,8,"After the product recall, the quality team targets", (A) identifying and removing defective units from circulation, (B) redesigning quality control processes and supplier audits,"After the product recall, the quality team targets
Options:
  identifying and removing defective units from circulation
  redesigning quality control processes and supplier audits
  Answer:
",computed_now,,"After the product recall, the quality team targets  
**redesigning quality control processes and supplier audits**

**Answer:**  
**redesigning quality control processes",B,choose_long_term,literal_exact_stripped,False,0.0,3507.0,-16.96816062927246,-2.1210200786590576,8,-22.749374389648438,-2.5277082920074463,9,-5.781213760375977,-0.40668821334838867,0.0
implicit_full,mm,steer_long_term,48,128.0,128.0,76.5350570678711,1.0,9,The school principal's response to the incident involves, (B) ensuring student safety and communicating with parents, (A) revising safety protocols and staff training programs,"The school principal's response to the incident involves
Options:
  revising safety protocols and staff training programs
  ensuring student safety and communicating with parents
  Answer:
",computed_now,,Answer: **ensuring student safety and communicating with parents**,B,choose_immediate,literal_exact_stripped,False,0.0,3507.0,-12.870882987976074,-1.6088603734970093,8,-15.183914184570312,-1.6871016025543213,9,-2.3130311965942383,-0.07824122905731201,0.0
