dataset,source_dataset,n_pairs,t_delay,match_type,field,field_label,occurrence_count,total_occurrences,occurrence_prop
explicit_expanded_500,explicit_expanded_500,500,1 hour,exact_phrase,question,question statement,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,1 hour,exact_phrase,short_term,short-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,1 hour,exact_phrase,long_term,long-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,1 hour,unit_word,question,question statement,0,18,0.0
explicit_expanded_500,explicit_expanded_500,500,1 hour,unit_word,short_term,short-term option,18,18,1.0
explicit_expanded_500,explicit_expanded_500,500,1 hour,unit_word,long_term,long-term option,0,18,0.0
explicit_expanded_500,explicit_expanded_500,500,8 hours,exact_phrase,question,question statement,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,8 hours,exact_phrase,short_term,short-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,8 hours,exact_phrase,long_term,long-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,8 hours,unit_word,question,question statement,0,18,0.0
explicit_expanded_500,explicit_expanded_500,500,8 hours,unit_word,short_term,short-term option,18,18,1.0
explicit_expanded_500,explicit_expanded_500,500,8 hours,unit_word,long_term,long-term option,0,18,0.0
explicit_expanded_500,explicit_expanded_500,500,tomorrow,exact_phrase,question,question statement,0,10,0.0
explicit_expanded_500,explicit_expanded_500,500,tomorrow,exact_phrase,short_term,short-term option,7,10,0.7
explicit_expanded_500,explicit_expanded_500,500,tomorrow,exact_phrase,long_term,long-term option,3,10,0.3
explicit_expanded_500,explicit_expanded_500,500,tomorrow,unit_word,question,question statement,0,10,0.0
explicit_expanded_500,explicit_expanded_500,500,tomorrow,unit_word,short_term,short-term option,7,10,0.7
explicit_expanded_500,explicit_expanded_500,500,tomorrow,unit_word,long_term,long-term option,3,10,0.3
explicit_expanded_500,explicit_expanded_500,500,2 days,exact_phrase,question,question statement,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,2 days,exact_phrase,short_term,short-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,2 days,exact_phrase,long_term,long-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,2 days,unit_word,question,question statement,0,17,0.0
explicit_expanded_500,explicit_expanded_500,500,2 days,unit_word,short_term,short-term option,17,17,1.0
explicit_expanded_500,explicit_expanded_500,500,2 days,unit_word,long_term,long-term option,0,17,0.0
explicit_expanded_500,explicit_expanded_500,500,week,exact_phrase,question,question statement,0,30,0.0
explicit_expanded_500,explicit_expanded_500,500,week,exact_phrase,short_term,short-term option,30,30,1.0
explicit_expanded_500,explicit_expanded_500,500,week,exact_phrase,long_term,long-term option,0,30,0.0
explicit_expanded_500,explicit_expanded_500,500,week,unit_word,question,question statement,0,36,0.0
explicit_expanded_500,explicit_expanded_500,500,week,unit_word,short_term,short-term option,36,36,1.0
explicit_expanded_500,explicit_expanded_500,500,week,unit_word,long_term,long-term option,0,36,0.0
explicit_expanded_500,explicit_expanded_500,500,month,exact_phrase,question,question statement,0,14,0.0
explicit_expanded_500,explicit_expanded_500,500,month,exact_phrase,short_term,short-term option,14,14,1.0
explicit_expanded_500,explicit_expanded_500,500,month,exact_phrase,long_term,long-term option,0,14,0.0
explicit_expanded_500,explicit_expanded_500,500,month,unit_word,question,question statement,0,21,0.0
explicit_expanded_500,explicit_expanded_500,500,month,unit_word,short_term,short-term option,19,21,0.9047619047619048
explicit_expanded_500,explicit_expanded_500,500,month,unit_word,long_term,long-term option,2,21,0.09523809523809523
explicit_expanded_500,explicit_expanded_500,500,3 months,exact_phrase,question,question statement,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,3 months,exact_phrase,short_term,short-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,3 months,exact_phrase,long_term,long-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,3 months,unit_word,question,question statement,0,21,0.0
explicit_expanded_500,explicit_expanded_500,500,3 months,unit_word,short_term,short-term option,19,21,0.9047619047619048
explicit_expanded_500,explicit_expanded_500,500,3 months,unit_word,long_term,long-term option,2,21,0.09523809523809523
explicit_expanded_500,explicit_expanded_500,500,year,exact_phrase,question,question statement,0,29,0.0
explicit_expanded_500,explicit_expanded_500,500,year,exact_phrase,short_term,short-term option,9,29,0.3103448275862069
explicit_expanded_500,explicit_expanded_500,500,year,exact_phrase,long_term,long-term option,20,29,0.6896551724137931
explicit_expanded_500,explicit_expanded_500,500,year,unit_word,question,question statement,0,150,0.0
explicit_expanded_500,explicit_expanded_500,500,year,unit_word,short_term,short-term option,9,150,0.06
explicit_expanded_500,explicit_expanded_500,500,year,unit_word,long_term,long-term option,141,150,0.94
explicit_expanded_500,explicit_expanded_500,500,2 years,exact_phrase,question,question statement,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,2 years,exact_phrase,short_term,short-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,2 years,exact_phrase,long_term,long-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,2 years,unit_word,question,question statement,0,150,0.0
explicit_expanded_500,explicit_expanded_500,500,2 years,unit_word,short_term,short-term option,9,150,0.06
explicit_expanded_500,explicit_expanded_500,500,2 years,unit_word,long_term,long-term option,141,150,0.94
explicit_expanded_500,explicit_expanded_500,500,3 years,exact_phrase,question,question statement,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,3 years,exact_phrase,short_term,short-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,3 years,exact_phrase,long_term,long-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,3 years,unit_word,question,question statement,0,150,0.0
explicit_expanded_500,explicit_expanded_500,500,3 years,unit_word,short_term,short-term option,9,150,0.06
explicit_expanded_500,explicit_expanded_500,500,3 years,unit_word,long_term,long-term option,141,150,0.94
explicit_expanded_500,explicit_expanded_500,500,5 years,exact_phrase,question,question statement,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,5 years,exact_phrase,short_term,short-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,5 years,exact_phrase,long_term,long-term option,0,0,0.0
explicit_expanded_500,explicit_expanded_500,500,5 years,unit_word,question,question statement,0,150,0.0
explicit_expanded_500,explicit_expanded_500,500,5 years,unit_word,short_term,short-term option,9,150,0.06
explicit_expanded_500,explicit_expanded_500,500,5 years,unit_word,long_term,long-term option,141,150,0.94
explicit_expanded_500,explicit_expanded_500,500,10 years,exact_phrase,question,question statement,0,1,0.0
explicit_expanded_500,explicit_expanded_500,500,10 years,exact_phrase,short_term,short-term option,0,1,0.0
explicit_expanded_500,explicit_expanded_500,500,10 years,exact_phrase,long_term,long-term option,1,1,1.0
explicit_expanded_500,explicit_expanded_500,500,10 years,unit_word,question,question statement,0,150,0.0
explicit_expanded_500,explicit_expanded_500,500,10 years,unit_word,short_term,short-term option,9,150,0.06
explicit_expanded_500,explicit_expanded_500,500,10 years,unit_word,long_term,long-term option,141,150,0.94
explicit_train_only,explicit_expanded_500,400,1 hour,exact_phrase,question,question statement,0,0,0.0
explicit_train_only,explicit_expanded_500,400,1 hour,exact_phrase,short_term,short-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,1 hour,exact_phrase,long_term,long-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,1 hour,unit_word,question,question statement,0,14,0.0
explicit_train_only,explicit_expanded_500,400,1 hour,unit_word,short_term,short-term option,14,14,1.0
explicit_train_only,explicit_expanded_500,400,1 hour,unit_word,long_term,long-term option,0,14,0.0
explicit_train_only,explicit_expanded_500,400,8 hours,exact_phrase,question,question statement,0,0,0.0
explicit_train_only,explicit_expanded_500,400,8 hours,exact_phrase,short_term,short-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,8 hours,exact_phrase,long_term,long-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,8 hours,unit_word,question,question statement,0,14,0.0
explicit_train_only,explicit_expanded_500,400,8 hours,unit_word,short_term,short-term option,14,14,1.0
explicit_train_only,explicit_expanded_500,400,8 hours,unit_word,long_term,long-term option,0,14,0.0
explicit_train_only,explicit_expanded_500,400,tomorrow,exact_phrase,question,question statement,0,8,0.0
explicit_train_only,explicit_expanded_500,400,tomorrow,exact_phrase,short_term,short-term option,5,8,0.625
explicit_train_only,explicit_expanded_500,400,tomorrow,exact_phrase,long_term,long-term option,3,8,0.375
explicit_train_only,explicit_expanded_500,400,tomorrow,unit_word,question,question statement,0,8,0.0
explicit_train_only,explicit_expanded_500,400,tomorrow,unit_word,short_term,short-term option,5,8,0.625
explicit_train_only,explicit_expanded_500,400,tomorrow,unit_word,long_term,long-term option,3,8,0.375
explicit_train_only,explicit_expanded_500,400,2 days,exact_phrase,question,question statement,0,0,0.0
explicit_train_only,explicit_expanded_500,400,2 days,exact_phrase,short_term,short-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,2 days,exact_phrase,long_term,long-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,2 days,unit_word,question,question statement,0,13,0.0
explicit_train_only,explicit_expanded_500,400,2 days,unit_word,short_term,short-term option,13,13,1.0
explicit_train_only,explicit_expanded_500,400,2 days,unit_word,long_term,long-term option,0,13,0.0
explicit_train_only,explicit_expanded_500,400,week,exact_phrase,question,question statement,0,22,0.0
explicit_train_only,explicit_expanded_500,400,week,exact_phrase,short_term,short-term option,22,22,1.0
explicit_train_only,explicit_expanded_500,400,week,exact_phrase,long_term,long-term option,0,22,0.0
explicit_train_only,explicit_expanded_500,400,week,unit_word,question,question statement,0,27,0.0
explicit_train_only,explicit_expanded_500,400,week,unit_word,short_term,short-term option,27,27,1.0
explicit_train_only,explicit_expanded_500,400,week,unit_word,long_term,long-term option,0,27,0.0
explicit_train_only,explicit_expanded_500,400,month,exact_phrase,question,question statement,0,10,0.0
explicit_train_only,explicit_expanded_500,400,month,exact_phrase,short_term,short-term option,10,10,1.0
explicit_train_only,explicit_expanded_500,400,month,exact_phrase,long_term,long-term option,0,10,0.0
explicit_train_only,explicit_expanded_500,400,month,unit_word,question,question statement,0,16,0.0
explicit_train_only,explicit_expanded_500,400,month,unit_word,short_term,short-term option,14,16,0.875
explicit_train_only,explicit_expanded_500,400,month,unit_word,long_term,long-term option,2,16,0.125
explicit_train_only,explicit_expanded_500,400,3 months,exact_phrase,question,question statement,0,0,0.0
explicit_train_only,explicit_expanded_500,400,3 months,exact_phrase,short_term,short-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,3 months,exact_phrase,long_term,long-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,3 months,unit_word,question,question statement,0,16,0.0
explicit_train_only,explicit_expanded_500,400,3 months,unit_word,short_term,short-term option,14,16,0.875
explicit_train_only,explicit_expanded_500,400,3 months,unit_word,long_term,long-term option,2,16,0.125
explicit_train_only,explicit_expanded_500,400,year,exact_phrase,question,question statement,0,23,0.0
explicit_train_only,explicit_expanded_500,400,year,exact_phrase,short_term,short-term option,7,23,0.30434782608695654
explicit_train_only,explicit_expanded_500,400,year,exact_phrase,long_term,long-term option,16,23,0.6956521739130435
explicit_train_only,explicit_expanded_500,400,year,unit_word,question,question statement,0,121,0.0
explicit_train_only,explicit_expanded_500,400,year,unit_word,short_term,short-term option,7,121,0.05785123966942149
explicit_train_only,explicit_expanded_500,400,year,unit_word,long_term,long-term option,114,121,0.9421487603305785
explicit_train_only,explicit_expanded_500,400,2 years,exact_phrase,question,question statement,0,0,0.0
explicit_train_only,explicit_expanded_500,400,2 years,exact_phrase,short_term,short-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,2 years,exact_phrase,long_term,long-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,2 years,unit_word,question,question statement,0,121,0.0
explicit_train_only,explicit_expanded_500,400,2 years,unit_word,short_term,short-term option,7,121,0.05785123966942149
explicit_train_only,explicit_expanded_500,400,2 years,unit_word,long_term,long-term option,114,121,0.9421487603305785
explicit_train_only,explicit_expanded_500,400,3 years,exact_phrase,question,question statement,0,0,0.0
explicit_train_only,explicit_expanded_500,400,3 years,exact_phrase,short_term,short-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,3 years,exact_phrase,long_term,long-term option,0,0,0.0
explicit_train_only,explicit_expanded_500,400,3 years,unit_word,question,question statement,0,121,0.0
