experiment,model_alias,model_name,layer,component,pair_index,metric_name,baseline_clean,baseline_corrupted,intervention_value,normalized_effect,strength,direction,ablation_mode,layer_source_method,layer_selection,selected_layers
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,2.4375,3.7,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,0.0,0.2,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,0.6875,0.6875,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,0.0625,-0.5833333333333334,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,1.25,5.0,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,1.1875,1.15,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,resid,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,-0.3125,-1.5,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,0.625,0.8,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,0.5,1.0,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,0.875,0.875,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,1.0,0.6666666666666666,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,0.75,1.0,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,1.0,1.0,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,attn,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,0.5,0.6666666666666666,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,0,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.125,0.625,0.8,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,1,clean_minus_corrupted_logit_diff_after_ablation,0.5,-0.125,0.5,1.0,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,2,clean_minus_corrupted_logit_diff_after_ablation,1.0,0.0,0.875,0.875,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,3,clean_minus_corrupted_logit_diff_after_ablation,1.25,0.5,0.875,0.5,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,4,clean_minus_corrupted_logit_diff_after_ablation,0.75,0.625,0.75,1.0,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,5,clean_minus_corrupted_logit_diff_after_ablation,1.0,-0.25,1.0,1.0,,,zero,lr,best,8
ablation,llama-3.2-3b,meta-llama/Llama-3.2-3B,8,mlp,6,clean_minus_corrupted_logit_diff_after_ablation,0.625,0.25,0.5,0.6666666666666666,,,zero,lr,best,8
