condition,x_now,y_later,t_delay,repeat_idx,prompt,response,choice,steering_layer,signed_strength,probe_train_regime,probe_feature_name,vector_key,probe_artifact_path
steer_long_term_plus32,100,100,tomorrow,1,What would you prefer 100$ now or 100$ in tomorrow? Answer in just a few words.,I prefer $100 now.,x_now,22,32.0,explicit_train_only,mean_answer_tokens,mm_steering_vectors,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/qwen3_4b_question_options_answer_probe_artifacts_20260405-185421.npz
steer_long_term_plus32,100,100,week,1,What would you prefer 100$ now or 100$ in week? Answer in just a few words.,I prefer $100 now.,x_now,22,32.0,explicit_train_only,mean_answer_tokens,mm_steering_vectors,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/qwen3_4b_question_options_answer_probe_artifacts_20260405-185421.npz
steer_long_term_plus32,100,100,month,1,What would you prefer 100$ now or 100$ in month? Answer in just a few words.,I prefer $100 now.,x_now,22,32.0,explicit_train_only,mean_answer_tokens,mm_steering_vectors,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/qwen3_4b_question_options_answer_probe_artifacts_20260405-185421.npz
steer_long_term_plus32,100,100,year,1,What would you prefer 100$ now or 100$ in year? Answer in just a few words.,I prefer $100 now.,x_now,22,32.0,explicit_train_only,mean_answer_tokens,mm_steering_vectors,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/qwen3_4b_question_options_answer_probe_artifacts_20260405-185421.npz
steer_long_term_plus32,100,100,2 years,1,What would you prefer 100$ now or 100$ in 2 years? Answer in just a few words.,I would prefer $100 now.,x_now,22,32.0,explicit_train_only,mean_answer_tokens,mm_steering_vectors,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/qwen3_4b_question_options_answer_probe_artifacts_20260405-185421.npz
steer_long_term_plus32,100,100,3 years,1,What would you prefer 100$ now or 100$ in 3 years? Answer in just a few words.,I prefer $100 now.,x_now,22,32.0,explicit_train_only,mean_answer_tokens,mm_steering_vectors,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/qwen3_4b_question_options_answer_probe_artifacts_20260405-185421.npz
steer_long_term_plus32,100,100,5 years,1,What would you prefer 100$ now or 100$ in 5 years? Answer in just a few words.,I prefer $100 now.,x_now,22,32.0,explicit_train_only,mean_answer_tokens,mm_steering_vectors,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/qwen3_4b_question_options_answer_probe_artifacts_20260405-185421.npz
steer_long_term_plus32,100,100,10 years,1,What would you prefer 100$ now or 100$ in 10 years? Answer in just a few words.,I prefer $100 now.,x_now,22,32.0,explicit_train_only,mean_answer_tokens,mm_steering_vectors,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/qwen3_4b_question_options_answer_probe_artifacts_20260405-185421.npz
steer_long_term_plus32,100,101,tomorrow,1,What would you prefer 100$ now or 101$ in tomorrow? Answer in just a few words.,I prefer $101 tomorrow.,y_later,22,32.0,explicit_train_only,mean_answer_tokens,mm_steering_vectors,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/qwen3_4b_question_options_answer_probe_artifacts_20260405-185421.npz
steer_long_term_plus32,100,101,week,1,What would you prefer 100$ now or 101$ in week? Answer in just a few words.,I prefer $100 now.,x_now,22,32.0,explicit_train_only,mean_answer_tokens,mm_steering_vectors,/content/drive/MyDrive/spar-ai-temporal-activations-experiments-results/qwen_question_options_answer_probe_variations_colab/20260405-185421/qwen3_4b_question_options_answer_probe_artifacts_20260405-185421.npz
