dataset,t_delay,match_type,train_pair_index,source_pair_index,text
explicit_train_only,1 hour,unit_word_only,1,3,The timeline we should optimize for is: / The next few hours and days / The coming decades and beyond / 
explicit_train_only,1 hour,unit_word_only,8,12,The roadmap timeline spans: / The next 48 to 72 hours / The next 15 to 20 years / 
explicit_train_only,1 hour,unit_word_only,20,27,Optimal decisions maximize: / Utility in the next few hours / Value across many generations / 
explicit_train_only,8 hours,unit_word_only,1,3,The timeline we should optimize for is: / The next few hours and days / The coming decades and beyond / 
explicit_train_only,8 hours,unit_word_only,8,12,The roadmap timeline spans: / The next 48 to 72 hours / The next 15 to 20 years / 
explicit_train_only,8 hours,unit_word_only,20,27,Optimal decisions maximize: / Utility in the next few hours / Value across many generations / 
explicit_train_only,tomorrow,exact_phrase,14,20,"When weighing options, optimize for: / Results visible by tomorrow morning / Outcomes that compound over decades / "
explicit_train_only,tomorrow,exact_phrase,16,23,The best decision accounts for: / Today's constraints and pressures / Tomorrow's opportunities and possibilities / 
explicit_train_only,tomorrow,exact_phrase,62,88,Priority conflicts resolve toward: / Whoever's deadline is tomorrow / Whatever builds lasting value / 
explicit_train_only,2 days,unit_word_only,1,3,The timeline we should optimize for is: / The next few hours and days / The coming decades and beyond / 
explicit_train_only,2 days,unit_word_only,13,19,Project milestones are set for: / The coming 14 days / The coming 14 years / 
explicit_train_only,2 days,unit_word_only,33,43,The fix timeline should be: / Complete by end of day / Phased over multiple years / 
explicit_train_only,week,exact_phrase,0,1,The planning horizon for this project should be: / This sprint cycle ending next week / The full product lifecycle over years / 
explicit_train_only,week,exact_phrase,4,6,Planning sessions should address: / Next week's tactical priorities / Next decade's market position / 
explicit_train_only,week,exact_phrase,11,16,The plan's success metrics cover: / This week's velocity numbers / Cumulative impact over years / 
explicit_train_only,month,exact_phrase,2,4,"When scoping this work, prioritize: / Deliverables due this month / Capabilities needed in future years / "
explicit_train_only,month,exact_phrase,26,35,The decision analysis covers: / This month's data points and metrics / Decade-spanning trend lines and patterns / 
explicit_train_only,month,exact_phrase,52,65,"When deploying funds, consider: / This month's cash needs / Next decade's growth potential / "
explicit_train_only,3 months,unit_word_only,2,4,"When scoping this work, prioritize: / Deliverables due this month / Capabilities needed in future years / "
explicit_train_only,3 months,unit_word_only,26,35,The decision analysis covers: / This month's data points and metrics / Decade-spanning trend lines and patterns / 
explicit_train_only,3 months,unit_word_only,36,47,Issue escalation considers: / Current incident severity now / Pattern significance over months / 
explicit_train_only,year,exact_phrase,3,5,The schedule should be driven by: / This quarter's urgent deadline pressures / The five-year strategic vision timeline / 
explicit_train_only,year,exact_phrase,45,57,Issue tracking covers: / This sprint's open tickets this week / Multi-year defect patterns and trends / 
explicit_train_only,year,exact_phrase,70,98,Priority discipline means: / Finishing today's to-do list / Advancing multi-year objectives / 
explicit_train_only,2 years,unit_word_only,0,1,The planning horizon for this project should be: / This sprint cycle ending next week / The full product lifecycle over years / 
explicit_train_only,2 years,unit_word_only,2,4,"When scoping this work, prioritize: / Deliverables due this month / Capabilities needed in future years / "
explicit_train_only,2 years,unit_word_only,3,5,The schedule should be driven by: / This quarter's urgent deadline pressures / The five-year strategic vision timeline / 
explicit_train_only,3 years,unit_word_only,0,1,The planning horizon for this project should be: / This sprint cycle ending next week / The full product lifecycle over years / 
explicit_train_only,3 years,unit_word_only,2,4,"When scoping this work, prioritize: / Deliverables due this month / Capabilities needed in future years / "
explicit_train_only,3 years,unit_word_only,3,5,The schedule should be driven by: / This quarter's urgent deadline pressures / The five-year strategic vision timeline / 
explicit_train_only,5 years,unit_word_only,0,1,The planning horizon for this project should be: / This sprint cycle ending next week / The full product lifecycle over years / 
explicit_train_only,5 years,unit_word_only,2,4,"When scoping this work, prioritize: / Deliverables due this month / Capabilities needed in future years / "
explicit_train_only,5 years,unit_word_only,3,5,The schedule should be driven by: / This quarter's urgent deadline pressures / The five-year strategic vision timeline / 
explicit_train_only,10 years,unit_word_only,0,1,The planning horizon for this project should be: / This sprint cycle ending next week / The full product lifecycle over years / 
explicit_train_only,10 years,unit_word_only,2,4,"When scoping this work, prioritize: / Deliverables due this month / Capabilities needed in future years / "
explicit_train_only,10 years,unit_word_only,3,5,The schedule should be driven by: / This quarter's urgent deadline pressures / The five-year strategic vision timeline / 
