dataset,train_regime,feature_name,vector_key,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,prompt_idx,question,immediate,long_term,prompt,result_source,reused_from_path,continuation,parsed_letter,parsed_semantic,parse_method,fallback_used,score_a,score_b,immediate_sum_logprob,immediate_avg_logprob,immediate_token_count,long_term_sum_logprob,long_term_avg_logprob,long_term_token_count,long_minus_immediate_sum_logprob,long_minus_immediate_avg_logprob,logprob_prefers_long_term
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,20,64.0,64.0,15.162434577941895,0.9999999403953552,0,"When the system fails, the first priority becomes", (A) containing the spreading damage before it escalates, (B) redesigning the architecture to prevent recurrence,"When the system fails, the first priority becomes
Options:
  containing the spreading damage before it escalates
  redesigning the architecture to prevent recurrence
  Answer:
",computed_now,,"containing the time and resources through sustainable development

Answer: time

Correct time

Time

Time

Sustainability

Sustainability

Sustainability

Sustainability",A,choose_immediate,ab_logit_fallback,True,15.703125,8.8984375,-0.007368193008005619,-0.000818688131403178,9,-23.345197677612305,-2.918149709701538,8,-23.3378294846043,-2.917331021570135,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,20,64.0,64.0,15.162434577941895,0.9999999403953552,1,The hospital administrator directs resources toward, (B) stabilizing patients in critical condition, (A) training staff and upgrading medical equipment,"The hospital administrator directs resources toward
Options:
  training staff and upgrading medical equipment
  stabilizing patients in critical condition
  Answer:
",computed_now,,"training and medical development  
Correct time  
Stabilization of health  
Healthcare systems  
Healthcare development  
Healthcare development  
Healthcare development  
Healthcare",A,choose_long_term,ab_logit_fallback,True,17.1875,11.640625,-3.516336441040039,-0.5023338198661804,7,-0.12572133541107178,-0.020953556522727013,6,3.3906151056289673,0.4813802633434534,1.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,20,64.0,64.0,15.162434577941895,0.9999999403953552,2,"After the data breach, the security team focuses on", (A) isolating compromised systems and revoking access, (B) implementing zero-trust architecture across networks,"After the data breach, the security team focuses on
Options:
  isolating compromised systems and revoking access
  implementing zero-trust architecture across networks
  Answer:
",computed_now,,"isolating compromising systems and revering access  
Correct time  
Correct time  
Correct time  
Correct time  
Correct time  
Correct time  
Correct time  
Correct time",A,choose_immediate,ab_logit_fallback,True,17.171875,8.8984375,-0.15343905985355377,-0.01917988248169422,8,-18.395275115966797,-2.2994093894958496,8,-18.241836056113243,-2.2802295070141554,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,20,64.0,64.0,15.162434577941895,0.9999999403953552,3,The fire chief's directive emphasizes, (B) evacuating residents and containing the blaze, (A) updating building codes and fire prevention programs,"The fire chief's directive emphasizes
Options:
  updating building codes and fire prevention programs
  evacuating residents and containing the blaze
  Answer:
",computed_now,,"updating prevention and safety
",A,choose_long_term,ab_logit_fallback,True,17.515625,10.3359375,-10.623577117919922,-1.3279471397399902,8,-0.014183211140334606,-0.0020261730533093214,7,10.609393906779587,1.325920966686681,1.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,20,64.0,64.0,15.162434577941895,0.9999999403953552,4,"During economic turbulence, the CFO recommends", (A) freezing expenditures and preserving cash reserves, (B) diversifying revenue streams and reducing dependencies,"During economic turbulence, the CFO recommends
Options:
  freezing expenditures and preserving cash reserves
  diversifying revenue streams and reducing dependencies
  Answer:
",computed_now,,"Freeeing expenditures and preserving cash reserves  
✅

This long-term economic stability through time  
Through time  
Through time  
Through time  
Through time  
Through time",A,choose_immediate,ab_logit_fallback,True,16.6875,10.640625,-0.9766685962677002,-0.13952408730983734,7,-16.523557662963867,-2.0654447078704834,8,-15.546889066696167,-1.925920620560646,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,20,64.0,64.0,15.162434577941895,0.9999999403953552,5,The emergency response coordinator prioritizes, (B) deploying rescue teams to affected areas, (A) establishing early warning systems and shelters,"The emergency response coordinator prioritizes
Options:
  establishing early warning systems and shelters
  deploying rescue teams to affected areas
  Answer:
",computed_now,,"establishing early early development of resilience and preparedness  
Answer:  
development of resilience and preparedness  
  
Correct time scales of human development  
Answer:  
",A,choose_long_term,literal_content_prefix,False,802.0,0.0,-7.141730308532715,-1.020247220993042,7,-0.016730358824133873,-0.0023900512605905533,7,7.124999949708581,1.0178571697324514,1.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,20,64.0,64.0,15.162434577941895,0.9999999403953552,6,"When the supply chain breaks, management chooses", (A) finding alternative suppliers for critical components, (B) building redundant supplier networks and local capacity,"When the supply chain breaks, management chooses
Options:
  finding alternative suppliers for critical components
  building redundant supplier networks and local capacity
  Answer:
",computed_now,,"Finding redundant supplier networks and local capacity

Correct time-scale of supply

Sustainable development

Economic development

Cultural development

Time-span of human development

",A,choose_immediate,ab_logit_fallback,True,17.6875,14.0546875,-1.0666385889053345,-0.1777731031179428,6,-2.4885146617889404,-0.35550209879875183,7,-1.421876072883606,-0.17772899568080902,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,20,64.0,64.0,15.162434577941895,0.9999999403953552,7,The IT director's incident response involves, (B) rolling back changes and restoring service availability, (A) implementing automated testing and deployment safeguards,"The IT director's incident response involves
Options:
  implementing automated testing and deployment safeguards
  rolling back changes and restoring service availability
  Answer:
",computed_now,,"Rolling time and restoring service availability

Correct time

Correct time

Correct time

Time

Time

Time

Time

Time

Time

Time

Time",A,choose_long_term,ab_logit_fallback,True,13.40625,11.1953125,-1.2384966611862183,-0.1769281029701233,7,-1.863503336906433,-0.2662147879600525,7,-0.6250066757202148,-0.0892866849899292,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,20,64.0,64.0,15.162434577941895,0.9999999403953552,8,"After the product recall, the quality team targets", (A) identifying and removing defective units from circulation, (B) redesigning quality control processes and supplier audits,"After the product recall, the quality team targets
Options:
  identifying and removing defective units from circulation
  redesigning quality control processes and supplier audits
  Answer:
",computed_now,,"identating and improving quality over time  
Answer:  
Quality improvement through time  
Time  
Time  
Time  
Time  
Time  
Time  
Time  
Time  
",A,choose_immediate,ab_logit_fallback,True,14.25,8.8671875,-0.0068596829660236835,-0.0008574603707529604,8,-15.930215835571289,-1.7700239419937134,9,-15.923356152605265,-1.7691664816229604,0.0
implicit_full,explicit_train_only,mean_answer_tokens,mm_probe_vectors,mm,steer_long_term,20,64.0,64.0,15.162434577941895,0.9999999403953552,9,The school principal's response to the incident involves, (B) ensuring student safety and communicating with parents, (A) revising safety protocols and staff training programs,"The school principal's response to the incident involves
Options:
  revising safety protocols and staff training programs
  ensuring student safety and communicating with parents
  Answer:
",computed_now,,"ensuring student safety and communicating across generations  
Answer  
Correct time  
Time  
Institutional change  
Education  
Societal development  
Cultural development  
",B,choose_immediate,literal_exact_stripped,False,0.0,2505.0,-0.2684762179851532,-0.03355952724814415,8,-1.9404140710830688,-0.21560156345367432,9,-1.6719378530979156,-0.18204203620553017,0.0
