x_now,y_later,t_delay,repeat_idx,prompt,response,response_for_parse,thinking_trace_removed_for_parse,choice,time_delay_format,user_pov,prompt_format
100,100,1 day,1,I have an offer to take 100$ now or 100$ in 1 day. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,7 days,1,I have an offer to take 100$ now or 100$ in 7 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,30 days,1,I have an offer to take 100$ now or 100$ in 30 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,365 days,1,I have an offer to take 100$ now or 100$ in 365 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,730 days,1,I have an offer to take 100$ now or 100$ in 730 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,1095 days,1,I have an offer to take 100$ now or 100$ in 1095 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,1825 days,1,I have an offer to take 100$ now or 100$ in 1825 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,3650 days,1,I have an offer to take 100$ now or 100$ in 3650 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,1 day,1,I have an offer to take 100$ now or 101$ in 1 day. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,7 days,1,I have an offer to take 100$ now or 101$ in 7 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,30 days,1,I have an offer to take 100$ now or 101$ in 30 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,365 days,1,I have an offer to take 100$ now or 101$ in 365 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,730 days,1,I have an offer to take 100$ now or 101$ in 730 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,1095 days,1,I have an offer to take 100$ now or 101$ in 1095 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
