patch_case_id,patch_family,patch_subtype,clean_grid_row_id,corrupt_grid_row_id,clean_choice,corrupt_choice,clean_choice_binary,corrupt_choice_binary,clean_amount_scale_factor_text,corrupt_amount_scale_factor_text,clean_amount_multiplier_text,corrupt_amount_multiplier_text,clean_t_delay,corrupt_t_delay,clean_x_now_text,clean_y_later_text,corrupt_x_now_text,corrupt_y_later_text,repeat_idx,clean_prompt,corrupt_prompt,clean_response,corrupt_response,case_clean_minus_corrupt_binary
y_00001,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=1 hour|repeat=1,scale=0.3|mult=1.01|t=1 hour|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,1 hour,1 hour,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 1 hour. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 1 hour. What should I choose? Answer in just a few words.,Choose the 3000$ in 1 hour.,Take the $30 now.,1.0
y_00002,corrupt_y,low_y_into_high_y,scale=0.3|mult=1.01|t=1 hour|repeat=1,scale=0.3|mult=100|t=1 hour|repeat=1,x_now,y_later,0.0,1.0,0.3,0.3,1.01,100,1 hour,1 hour,30,30.3,30,3000,1,I have an offer to take 30$ now or 30.3$ in 1 hour. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 3000$ in 1 hour. What should I choose? Answer in just a few words.,Take the $30 now.,Choose the 3000$ in 1 hour.,-1.0
y_00003,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=30 days|repeat=1,scale=0.3|mult=1.01|t=30 days|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,30 days,30 days,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 30 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 30 days. What should I choose? Answer in just a few words.,Choose 3000$ in 30 days.,Take the $30 now.,1.0
y_00004,corrupt_y,low_y_into_high_y,scale=0.3|mult=1.01|t=30 days|repeat=1,scale=0.3|mult=100|t=30 days|repeat=1,x_now,y_later,0.0,1.0,0.3,0.3,1.01,100,30 days,30 days,30,30.3,30,3000,1,I have an offer to take 30$ now or 30.3$ in 30 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 3000$ in 30 days. What should I choose? Answer in just a few words.,Take the $30 now.,Choose 3000$ in 30 days.,-1.0
y_00005,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=90 days|repeat=1,scale=0.3|mult=1.01|t=90 days|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,90 days,90 days,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 90 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 90 days. What should I choose? Answer in just a few words.,Choose 3000$ in 90 days.,Take the $30 now.,1.0
y_00006,corrupt_y,low_y_into_high_y,scale=0.3|mult=1.01|t=90 days|repeat=1,scale=0.3|mult=100|t=90 days|repeat=1,x_now,y_later,0.0,1.0,0.3,0.3,1.01,100,90 days,90 days,30,30.3,30,3000,1,I have an offer to take 30$ now or 30.3$ in 90 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 3000$ in 90 days. What should I choose? Answer in just a few words.,Take the $30 now.,Choose 3000$ in 90 days.,-1.0
y_00007,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=365 days|repeat=1,scale=0.3|mult=1.01|t=365 days|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,365 days,365 days,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 365 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 365 days. What should I choose? Answer in just a few words.,Choose 3000$ in 365 days.,Take the $30 now.,1.0
y_00008,corrupt_y,low_y_into_high_y,scale=0.3|mult=1.01|t=365 days|repeat=1,scale=0.3|mult=100|t=365 days|repeat=1,x_now,y_later,0.0,1.0,0.3,0.3,1.01,100,365 days,365 days,30,30.3,30,3000,1,I have an offer to take 30$ now or 30.3$ in 365 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 3000$ in 365 days. What should I choose? Answer in just a few words.,Take the $30 now.,Choose 3000$ in 365 days.,-1.0
y_00009,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=730 days|repeat=1,scale=0.3|mult=1.01|t=730 days|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,730 days,730 days,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 730 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 730 days. What should I choose? Answer in just a few words.,Take the 3000$ in 730 days.,Take the $30 now.,1.0
y_00010,corrupt_y,low_y_into_high_y,scale=0.3|mult=1.01|t=730 days|repeat=1,scale=0.3|mult=100|t=730 days|repeat=1,x_now,y_later,0.0,1.0,0.3,0.3,1.01,100,730 days,730 days,30,30.3,30,3000,1,I have an offer to take 30$ now or 30.3$ in 730 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 3000$ in 730 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the 3000$ in 730 days.,-1.0
y_00011,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=1095 days|repeat=1,scale=0.3|mult=1.01|t=1095 days|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,1095 days,1095 days,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 1095 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 1095 days. What should I choose? Answer in just a few words.,Take the 3000$ in 1095 days.,Take the $30 now.,1.0
y_00012,corrupt_y,low_y_into_high_y,scale=0.3|mult=1.01|t=1095 days|repeat=1,scale=0.3|mult=100|t=1095 days|repeat=1,x_now,y_later,0.0,1.0,0.3,0.3,1.01,100,1095 days,1095 days,30,30.3,30,3000,1,I have an offer to take 30$ now or 30.3$ in 1095 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 3000$ in 1095 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the 3000$ in 1095 days.,-1.0
y_00013,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=1825 days|repeat=1,scale=0.3|mult=1.01|t=1825 days|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,1825 days,1825 days,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 1825 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 1825 days. What should I choose? Answer in just a few words.,Take the 3000$ in 1825 days.,Take the $30 now.,1.0
y_00014,corrupt_y,low_y_into_high_y,scale=0.3|mult=1.01|t=1825 days|repeat=1,scale=0.3|mult=100|t=1825 days|repeat=1,x_now,y_later,0.0,1.0,0.3,0.3,1.01,100,1825 days,1825 days,30,30.3,30,3000,1,I have an offer to take 30$ now or 30.3$ in 1825 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 3000$ in 1825 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the 3000$ in 1825 days.,-1.0
