condition,amount_scale_factor,amount_scale_factor_text,base_x_now,base_x_now_text,base_y_later,base_y_later_text,x_now,x_now_text,y_later,y_later_text,amount_multiplier,amount_multiplier_text,t_delay,repeat_idx,prompt,response,response_for_parse,thinking_trace_removed_for_parse,choice,steering_layer,signed_strength,steering_applied,probe_train_regime,probe_feature_name,vector_key,probe_artifact_path
steer_long_term_plus32,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,1 hour,1,What would you prefer 30$ now or 30$ in 1 hour? Answer in just a few words.,30$ now.,30$ now.,False,x_now,40,32.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_long_term_plus32,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,8 hours,1,What would you prefer 30$ now or 30$ in 8 hours? Answer in just a few words.,30$ now.,30$ now.,False,x_now,40,32.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_long_term_plus32,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,tomorrow,1,What would you prefer 30$ now or 30$ tomorrow? Answer in just a few words.,30$ now.,30$ now.,False,x_now,40,32.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_long_term_plus32,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,2 days,1,What would you prefer 30$ now or 30$ in 2 days? Answer in just a few words.,30$ now.,30$ now.,False,x_now,40,32.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_long_term_plus32,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,week,1,What would you prefer 30$ now or 30$ in week? Answer in just a few words.,30$ now.,30$ now.,False,x_now,40,32.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_long_term_plus32,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,month,1,What would you prefer 30$ now or 30$ in month? Answer in just a few words.,30$ now.,30$ now.,False,x_now,40,32.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_long_term_plus32,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,3 months,1,What would you prefer 30$ now or 30$ in 3 months? Answer in just a few words.,30$ now.,30$ now.,False,x_now,40,32.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_long_term_plus32,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,year,1,What would you prefer 30$ now or 30$ in year? Answer in just a few words.,30$ now.,30$ now.,False,x_now,40,32.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_long_term_plus32,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,2 years,1,What would you prefer 30$ now or 30$ in 2 years? Answer in just a few words.,30$ now.,30$ now.,False,x_now,40,32.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
steer_long_term_plus32,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,3 years,1,What would you prefer 30$ now or 30$ in 3 years? Answer in just a few words.,30$ now.,30$ now.,False,x_now,40,32.0,True,explicit_train_only,mean_answer_tokens,mm_probe_vectors,/workspace/results/qwen3_32b/question_only_probe_variations/20260410-093720/qwen3_32b_question_only_probe_artifacts_20260410-093720_explicit_only_checkpoint.npz
