dataset,layer,cond,answer,fallback,cont
explicit,8,baseline,A,False,"
(1) A strategic plan is"
explicit,8,baseline,,True,"
The first step is to make sure"
implicit,8,baseline,A,False, A tactical response is a response to a
implicit,8,baseline,A,False,"
A is the most important factor."
explicit,8,add5,A,False,"
(1) A strategic plan is"
explicit,8,add5,,True,"
The first step is to make sure"
implicit,8,add5,A,False, A tactical response is a response to a
implicit,8,add5,A,False,"
A is the most important factor."
explicit,8,sub5,A,False,"
(1) A strategic plan is"
explicit,8,sub5,,True,"
The first step is to make sure"
implicit,8,sub5,A,False, A tactical response is a response to a
implicit,8,sub5,A,False,"
A is the most important factor."
explicit,8,add20,A,False,"
(1) A strategic plan is"
explicit,8,add20,A,False,"
(1) A change in the"
implicit,8,add20,A,False, A tactical response that is more effective than
implicit,8,add20,A,False,"
A is the most important factor."
explicit,8,sub20,,True,"
The first two are the most important"
explicit,8,sub20,,True,"
The first step is to get the"
implicit,8,sub20,A,False, A tactical response is a response to a
implicit,8,sub20,A,False,"
A is the most important factor."
explicit,11,baseline,A,False,"
(1) A strategic plan is"
explicit,11,baseline,,True,"
The first step is to make sure"
implicit,11,baseline,A,False, A tactical response is a response to a
implicit,11,baseline,A,False,"
A is the most important factor."
explicit,11,add5,A,False,"
(1) A strategic plan is"
explicit,11,add5,,True,"
The first step is to understand the"
implicit,11,add5,A,False, A tactical response is a response to a
implicit,11,add5,A,False," A is the most important factor.
"
explicit,11,sub5,A,False,"
(1) A crisis management strategy"
explicit,11,sub5,,True,"
The first step is to make sure"
implicit,11,sub5,A,False, A tactical response is a response to a
implicit,11,sub5,A,False,"
A is the most important factor."
explicit,11,add20,A,False,"
(1) A strategic plan is"
explicit,11,add20,,True,"
The first step is to understand the"
implicit,11,add20,A,False, A tactical response is a response to a
implicit,11,add20,A,False," A is the most important factor.
"
explicit,11,sub20,A,False,"
(1) A crisis management strategy"
explicit,11,sub20,,True,"
The first step is to make sure"
implicit,11,sub20,A,False,"
(1) Tactical responses that are"
implicit,11,sub20,A,False,"
A is the most important factor."
