condition,signed_strength,steering_applied,steering_layer,set_type,dataset_index,benchmark_idx,level,days,org,dest,visiting_city_number,people_number,budget,parse_success,parse_method,parse_error,input_tokens,output_tokens,generation_seconds,prompt_path,response_path,plan_path
steer_immediate_minus91,-91.0,True,40,validation,0,1,easy,3,Washington,Myrtle Beach,1,1,1400,True,json,,4113,335,22.388144731521606,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0001.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0001.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0001.json
steer_immediate_minus91,-91.0,True,40,validation,1,2,easy,3,Oakland,Tucson,1,1,1400,True,json,,3365,291,19.026001930236816,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0002.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0002.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0002.json
steer_immediate_minus91,-91.0,True,40,validation,2,3,easy,3,Buffalo,Atlanta,1,1,1100,True,json,,3852,325,21.341768264770508,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0003.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0003.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0003.json
steer_immediate_minus91,-91.0,True,40,validation,3,4,easy,3,Ontario,Honolulu,1,1,3200,True,json,,3549,322,20.982609748840332,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0004.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0004.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0004.json
steer_immediate_minus91,-91.0,True,40,validation,4,5,easy,3,West Palm Beach,Atlanta,1,1,900,True,json,,4762,331,22.10535979270935,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0005.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0005.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0005.json
steer_immediate_minus91,-91.0,True,40,validation,5,6,easy,3,Detroit,San Diego,1,1,3000,True,json,,3298,296,19.26333785057068,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0006.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0006.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0006.json
steer_immediate_minus91,-91.0,True,40,validation,6,7,easy,3,Missoula,Dallas,1,1,1900,True,json,,4629,318,20.989351272583008,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0007.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0007.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0007.json
steer_immediate_minus91,-91.0,True,40,validation,7,8,easy,3,Boston,San Juan,1,1,1400,True,json,,3810,358,23.024473667144775,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0008.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0008.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0008.json
steer_immediate_minus91,-91.0,True,40,validation,8,9,easy,3,Sarasota,Philadelphia,1,1,2100,True,json,,3444,311,20.024834871292114,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0009.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0009.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0009.json
steer_immediate_minus91,-91.0,True,40,validation,9,10,easy,3,Minneapolis,St. Louis,1,1,1000,True,json,,4038,324,21.092238903045654,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0010.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0010.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0010.json
steer_immediate_minus91,-91.0,True,40,validation,10,11,easy,3,Minneapolis,Seattle,1,1,1800,True,json,,4185,309,20.424506187438965,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0011.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0011.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0011.json
steer_immediate_minus91,-91.0,True,40,validation,11,12,easy,3,St. Petersburg,Appleton,1,1,1200,True,json,,3919,331,21.920246601104736,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0012.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0012.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0012.json
steer_immediate_minus91,-91.0,True,40,validation,12,13,easy,3,Pittsburgh,Baltimore,1,1,1200,True,json,,3889,309,20.545515298843384,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0013.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0013.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0013.json
steer_immediate_minus91,-91.0,True,40,validation,13,14,easy,3,Denver,Appleton,1,1,1800,True,json,,4032,326,21.652181386947632,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0014.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0014.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0014.json
steer_immediate_minus91,-91.0,True,40,validation,14,15,easy,3,St. Louis,Las Vegas,1,1,1300,True,json,,4401,326,21.594083309173584,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0015.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0015.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0015.json
steer_immediate_minus91,-91.0,True,40,validation,15,16,easy,3,Spokane,San Francisco,1,1,1200,True,json,,3486,313,20.347007513046265,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/prompts/query_0016.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/responses/response_0016.txt,/workspace/results/qwen3_32b/travelplanner_probe_steered/20260418-112424/conditions/steer_immediate_minus91/plans/plan_0016.json
