dataset,t_delay,match_type,pair_index,text
explicit_expanded_500,1 hour,unit_word_only,3,The timeline we should optimize for is: / The next few hours and days / The coming decades and beyond / 
explicit_expanded_500,1 hour,unit_word_only,12,The roadmap timeline spans: / The next 48 to 72 hours / The next 15 to 20 years / 
explicit_expanded_500,1 hour,unit_word_only,18,The planning framework emphasizes: / Hour-by-hour execution tracking this week / Era-defining strategic positioning for decades / 
explicit_expanded_500,8 hours,unit_word_only,3,The timeline we should optimize for is: / The next few hours and days / The coming decades and beyond / 
explicit_expanded_500,8 hours,unit_word_only,12,The roadmap timeline spans: / The next 48 to 72 hours / The next 15 to 20 years / 
explicit_expanded_500,8 hours,unit_word_only,18,The planning framework emphasizes: / Hour-by-hour execution tracking this week / Era-defining strategic positioning for decades / 
explicit_expanded_500,tomorrow,exact_phrase,15,Contingency planning addresses: / Risks that could materialize tomorrow morning / Threats emerging over the coming decades / 
explicit_expanded_500,tomorrow,exact_phrase,20,"When weighing options, optimize for: / Results visible by tomorrow morning / Outcomes that compound over decades / "
explicit_expanded_500,tomorrow,exact_phrase,23,The best decision accounts for: / Today's constraints and pressures / Tomorrow's opportunities and possibilities / 
explicit_expanded_500,2 days,unit_word_only,0,"When developing a roadmap for this initiative, consider: / What we can deliver in the next 30 days / What position we want in 10 years / "
explicit_expanded_500,2 days,unit_word_only,3,The timeline we should optimize for is: / The next few hours and days / The coming decades and beyond / 
explicit_expanded_500,2 days,unit_word_only,9,"When drafting the plan, consider: / What's achievable by end of day / What's possible over a lifetime / "
explicit_expanded_500,week,exact_phrase,1,The planning horizon for this project should be: / This sprint cycle ending next week / The full product lifecycle over years / 
explicit_expanded_500,week,exact_phrase,6,Planning sessions should address: / Next week's tactical priorities / Next decade's market position / 
explicit_expanded_500,week,exact_phrase,11,Resource planning aligns with: / Immediate staffing needs this week / Workforce evolution over decades / 
explicit_expanded_500,month,exact_phrase,2,"When setting milestones, focus on: / Daily and weekly checkpoint targets this month / Annual and multi-year achievement markers / "
explicit_expanded_500,month,exact_phrase,4,"When scoping this work, prioritize: / Deliverables due this month / Capabilities needed in future years / "
explicit_expanded_500,month,exact_phrase,33,The decision tree evaluates: / Near-term payoffs this month / Far-term consequences over years / 
explicit_expanded_500,3 months,unit_word_only,2,"When setting milestones, focus on: / Daily and weekly checkpoint targets this month / Annual and multi-year achievement markers / "
explicit_expanded_500,3 months,unit_word_only,4,"When scoping this work, prioritize: / Deliverables due this month / Capabilities needed in future years / "
explicit_expanded_500,3 months,unit_word_only,33,The decision tree evaluates: / Near-term payoffs this month / Far-term consequences over years / 
explicit_expanded_500,year,exact_phrase,2,"When setting milestones, focus on: / Daily and weekly checkpoint targets this month / Annual and multi-year achievement markers / "
explicit_expanded_500,year,exact_phrase,5,The schedule should be driven by: / This quarter's urgent deadline pressures / The five-year strategic vision timeline / 
explicit_expanded_500,year,exact_phrase,57,Issue tracking covers: / This sprint's open tickets this week / Multi-year defect patterns and trends / 
explicit_expanded_500,2 years,unit_word_only,0,"When developing a roadmap for this initiative, consider: / What we can deliver in the next 30 days / What position we want in 10 years / "
explicit_expanded_500,2 years,unit_word_only,1,The planning horizon for this project should be: / This sprint cycle ending next week / The full product lifecycle over years / 
explicit_expanded_500,2 years,unit_word_only,2,"When setting milestones, focus on: / Daily and weekly checkpoint targets this month / Annual and multi-year achievement markers / "
explicit_expanded_500,3 years,unit_word_only,0,"When developing a roadmap for this initiative, consider: / What we can deliver in the next 30 days / What position we want in 10 years / "
explicit_expanded_500,3 years,unit_word_only,1,The planning horizon for this project should be: / This sprint cycle ending next week / The full product lifecycle over years / 
explicit_expanded_500,3 years,unit_word_only,2,"When setting milestones, focus on: / Daily and weekly checkpoint targets this month / Annual and multi-year achievement markers / "
explicit_expanded_500,5 years,unit_word_only,0,"When developing a roadmap for this initiative, consider: / What we can deliver in the next 30 days / What position we want in 10 years / "
explicit_expanded_500,5 years,unit_word_only,1,The planning horizon for this project should be: / This sprint cycle ending next week / The full product lifecycle over years / 
explicit_expanded_500,5 years,unit_word_only,2,"When setting milestones, focus on: / Daily and weekly checkpoint targets this month / Annual and multi-year achievement markers / "
explicit_expanded_500,10 years,exact_phrase,0,"When developing a roadmap for this initiative, consider: / What we can deliver in the next 30 days / What position we want in 10 years / "
explicit_original_50,tomorrow,exact_phrase,2,"When allocating resources, you should prioritize: / Addressing today's urgent needs / Investing in tomorrow's opportunities / "
explicit_original_50,tomorrow,exact_phrase,23,Time is best spent on: / Today's crises / Tomorrow's opportunities / 
explicit_original_50,2 days,unit_word_only,26,The relevant timeframe is: / Days to weeks / Years to decades / 
explicit_original_50,week,exact_phrase,15,Where you should invest resources: / In tools that pay off this week / In capabilities that compound over decades / 
explicit_original_50,week,exact_phrase,20,What deserves attention right now: / The pressing deadline this week / The major milestone in 5 years / 
explicit_original_50,week,exact_phrase,35,The objective should be: / Meeting this week's quota / Building a lasting legacy / 
explicit_original_50,month,exact_phrase,24,The team should concentrate on: / This month's deliverables / This decade's vision / 
explicit_original_50,3 months,unit_word_only,24,The team should concentrate on: / This month's deliverables / This decade's vision / 
explicit_original_50,year,unit_word_only,1,The best approach for this project is to: / Get quick results and iterate as problems come up / Build a solid foundation that will scale for years / 
explicit_original_50,year,unit_word_only,5,"When evaluating this option, you should ask: / Does this solve today's problem? / Will this still be valuable in 10 years? / "
explicit_original_50,year,unit_word_only,20,What deserves attention right now: / The pressing deadline this week / The major milestone in 5 years / 
explicit_original_50,2 years,unit_word_only,1,The best approach for this project is to: / Get quick results and iterate as problems come up / Build a solid foundation that will scale for years / 
explicit_original_50,2 years,unit_word_only,5,"When evaluating this option, you should ask: / Does this solve today's problem? / Will this still be valuable in 10 years? / "
