train_dataset,train_dataset_label,feature_name,layer,base_train_size,extra_train_size,train_size,lr_train_acc,lr_explicit_test_acc,lr_implicit_acc,wlr_train_acc,wlr_explicit_test_acc,wlr_implicit_acc,mm_train_acc,mm_explicit_test_acc,mm_implicit_acc,wmm_train_acc,wmm_explicit_test_acc,wmm_implicit_acc,whitener_cov_reg_condition_number,wmm_reg,mm_raw_norm,mm_steering_norm,wmm_raw_norm,wmm_steering_norm
explicit_train_only,explicit train only,last_answer_token,10,800,0,800,1.0,0.985,0.735,1.0,0.98,0.7066666666666667,0.93625,0.935,0.69,1.0,0.98,0.7066666666666667,27246.283484793774,0.01,13.063714027404785,0.9999999403953552,1.53003990650177,1.0
explicit_train_only,explicit train only,last_answer_token,14,800,0,800,1.0,0.995,0.7566666666666667,1.0,0.985,0.7383333333333333,0.9375,0.945,0.7066666666666667,1.0,0.985,0.7433333333333333,27840.630659122606,0.01,14.702528953552246,1.0,1.404803991317749,1.0
explicit_train_only,explicit train only,last_answer_token,18,800,0,800,1.0,0.995,0.8,1.0,0.975,0.695,0.92875,0.93,0.62,1.0,0.98,0.7133333333333334,27206.941558204737,0.01,16.665828704833984,0.9999999403953552,1.2457674741744995,1.0
explicit_train_only,explicit train only,last_answer_token,22,800,0,800,1.0,0.995,0.8116666666666666,1.0,0.99,0.7866666666666666,0.87375,0.87,0.5166666666666667,1.0,0.995,0.7883333333333333,26200.967904233275,0.01,24.858501434326172,1.0,0.8433129787445068,0.9999999403953552
explicit_train_only,explicit train only,last_answer_token,26,800,0,800,1.0,0.99,0.8366666666666667,1.0,0.975,0.7733333333333333,0.915,0.92,0.67,1.0,0.975,0.79,25070.477325732838,0.01,42.44522476196289,1.0000001192092896,0.47449764609336853,0.9999999403953552
explicit_train_only,explicit train only,mean_answer_tokens,10,800,0,800,1.0,0.985,0.7783333333333333,1.0,0.965,0.6383333333333333,0.96375,0.97,0.7316666666666667,1.0,0.965,0.6466666666666666,20514.598350183915,0.01,9.780277252197266,1.0,2.211949586868286,0.9999999403953552
explicit_train_only,explicit train only,mean_answer_tokens,14,800,0,800,1.0,0.985,0.81,1.0,0.985,0.6733333333333333,0.965,0.965,0.7416666666666667,1.0,0.985,0.675,22299.35470994071,0.01,10.930532455444336,0.9999999403953552,2.1942241191864014,0.9999998807907104
explicit_train_only,explicit train only,mean_answer_tokens,18,800,0,800,1.0,0.985,0.795,1.0,0.975,0.6266666666666667,0.8675,0.835,0.5116666666666667,1.0,0.975,0.6483333333333333,94241.08820673196,0.01,12.403575897216797,1.0,1.904401183128357,1.0
explicit_train_only,explicit train only,mean_answer_tokens,22,800,0,800,1.0,0.98,0.7983333333333333,1.0,0.965,0.66,0.93,0.935,0.55,1.0,0.965,0.695,51520.05365624252,0.01,19.203998565673828,1.0,1.3366433382034302,1.0
explicit_train_only,explicit train only,mean_answer_tokens,26,800,0,800,1.0,0.975,0.7316666666666667,1.0,0.965,0.6383333333333333,0.8375,0.8,0.5733333333333334,1.0,0.965,0.69,23960.49667740363,0.01,35.834556579589844,1.0,0.6714566349983215,0.9999999403953552
explicit_train_plus_redteam_20260322-090107,"plus March 22, 2026 red-team",last_answer_token,10,800,190,990,1.0,0.985,0.8033333333333333,1.0,0.94,0.6883333333333334,0.8676767676767677,0.83,0.5933333333333334,1.0,0.945,0.7033333333333334,24548.20509669553,0.01,11.797235488891602,0.9999999403953552,2.301748275756836,0.9999999403953552
