probe,arm,mean_shared_options,n_context,ctx_tokens,context_fill,pathology,gold,pred,correct,parsed,mean_entropy,response
0,disjoint,0.0,8,3157,0.7708,Viral pharyngitis,E,D,False,True,0.39845967828846085,"D) URTI

Given the symptoms of nasal congestion, a clear runny nose, a cough, and the recent contact with someone with similar symptoms,"
0,random,1.5,8,2990,0.73,Viral pharyngitis,E,D,False,True,0.23693499926594086,D
0,near_dup,4.0,8,3349,0.8176,Viral pharyngitis,E,D,False,True,0.23623837721243035,D
1,disjoint,0.0,8,3130,0.7642,Croup,A,A,True,True,0.22310058500326946,A
1,random,0.875,8,2899,0.7078,Croup,A,A,True,True,0.1837888938987362,A
1,near_dup,3.375,8,2938,0.7173,Croup,A,A,True,True,0.10060969428286626,A) Croup
2,disjoint,0.0,8,2858,0.6978,Tuberculosis,B,B,True,True,0.0005974210899353238,B
2,random,1.25,8,2773,0.677,Tuberculosis,B,B,True,True,0.0006641386153205531,B
2,near_dup,3.5,8,2320,0.5664,Tuberculosis,B,B,True,True,0.004187439495581202,B
4,disjoint,0.0,8,3154,0.77,Anaphylaxis,B,B,True,True,0.07812403933538192,B
4,random,0.625,8,3037,0.7415,Anaphylaxis,B,B,True,True,0.00124160263069939,B
4,near_dup,3.0,8,3754,0.9165,Anaphylaxis,B,B,True,True,0.007512071340578075,B
5,disjoint,0.0,8,3082,0.7524,Acute COPD exacerbation / infection,C,C,True,True,0.012072306882359385,C
5,random,1.375,8,2854,0.6968,Acute COPD exacerbation / infection,C,C,True,True,0.013467503272771353,C
5,near_dup,4.0,8,3106,0.7583,Acute COPD exacerbation / infection,C,C,True,True,0.17194820197017435,C
6,disjoint,0.0,8,3118,0.7612,GERD,E,E,True,True,0.016021940581502747,E
6,random,0.875,8,3275,0.7996,GERD,E,E,True,True,0.03838934873650146,E
6,near_dup,3.0,8,2722,0.6646,GERD,E,E,True,True,0.00927291734751634,E
7,disjoint,0.0,8,2993,0.7307,HIV (initial infection),A,A,True,True,0.04373589944634659,A) HIV (initial infection)
7,random,0.25,8,3032,0.7402,HIV (initial infection),A,A,True,True,0.03481072946215136,A) HIV (initial infection)
7,near_dup,3.625,8,3223,0.7869,HIV (initial infection),A,A,True,True,0.3374718285982041,A
8,disjoint,0.0,8,3227,0.7878,Unstable angina,C,D,False,True,0.18423681313674933,D
8,random,1.25,8,3190,0.7788,Unstable angina,C,D,False,True,0.06375662586651742,D
8,near_dup,4.0,8,3362,0.8208,Unstable angina,C,D,False,True,0.0029342182679101825,D
