layer,checkpoint_path,test_accuracy,score_scale
0,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_0.json,0.91,20.380605697631836
1,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_1.json,0.88,24.401914596557617
2,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_2.json,0.895,30.894868850708008
3,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_3.json,0.94,43.19569778442383
4,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_4.json,0.84,51.193355560302734
5,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_5.json,0.93,69.23968505859375
6,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_6.json,0.905,87.84937286376953
7,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_7.json,0.905,123.85746002197266
8,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_8.json,0.79,159.75900268554688
9,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_9.json,0.61,222.13409423828125
10,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_10.json,0.5,333.5196533203125
11,results/checkpoints/mmraz_probe_variations_red_team_augmented_20260322-090107_options_answer_stripped_mean_answer_tokens/mmraz_gpt2_explicit_expanded_plus_redteam_options_answer_mm_probe_layer_11.json,0.495,754.7681274414062
