patch_case_id,patch_family,patch_subtype,clean_grid_row_id,corrupt_grid_row_id,clean_choice,corrupt_choice,clean_choice_binary,corrupt_choice_binary,clean_amount_scale_factor_text,corrupt_amount_scale_factor_text,clean_amount_multiplier_text,corrupt_amount_multiplier_text,clean_t_delay,corrupt_t_delay,clean_x_now_text,clean_y_later_text,corrupt_x_now_text,corrupt_y_later_text,repeat_idx,clean_prompt,corrupt_prompt,clean_response,corrupt_response,case_clean_minus_corrupt_binary,patch_position,patch_layer,patched_prompt,patched_response,patched_response_for_parse,patched_choice,patched_choice_binary,patched_choice_label,patched_prompt_len,patched_token_idx,patched_token_text,patch_applied,pre_patch_corrupt_norm,clean_activation_norm,pre_patch_clean_corrupt_l2,pre_patch_clean_corrupt_cosine,patched_candidate_immediate_text,patched_candidate_delayed_text,patched_immediate_sum_logprob,patched_immediate_avg_logprob,patched_immediate_token_count,patched_delayed_sum_logprob,patched_delayed_avg_logprob,patched_delayed_token_count,patched_delayed_minus_immediate_sum_logprob,patched_delayed_minus_immediate_avg_logprob,patched_forced_choice_prefers_delayed_sum,patched_forced_choice_prefers_delayed_avg,patched_forced_choice_p_delayed_from_sum,patched_forced_choice_patch_applied,clean_baseline_delayed_minus_immediate_sum_logprob,clean_baseline_delayed_minus_immediate_avg_logprob,clean_baseline_forced_choice_p_delayed_from_sum,clean_baseline_forced_choice_prefers_delayed_sum,clean_baseline_forced_choice_prefers_delayed_avg,corrupt_baseline_delayed_minus_immediate_sum_logprob,corrupt_baseline_delayed_minus_immediate_avg_logprob,corrupt_baseline_forced_choice_p_delayed_from_sum,corrupt_baseline_forced_choice_prefers_delayed_sum,corrupt_baseline_forced_choice_prefers_delayed_avg,patched_matches_clean_binary,patched_matches_corrupt_binary,patched_changed_from_corrupt_binary,parsed_binary_recovery,sum_logprob_margin_recovery,avg_logprob_margin_recovery
y_00001,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=1 hour|repeat=1,scale=0.3|mult=1.01|t=1 hour|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,1 hour,1 hour,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 1 hour. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 1 hour. What should I choose? Answer in just a few words.,Choose the 3000$ in 1 hour.,Take the $30 now.,1.0,question_mark,40,I have an offer to take 30$ now or 30.3$ in 1 hour. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,x_now,0.0,x_now,47,30,?,True,222.37525939941406,224.01290893554688,38.30960464477539,0.9852960705757141,30$ now,30.3$ in 1 hour,-6.675248146057129,-1.6688120365142822,4,-7.091487407684326,-0.7879430651664734,9,-0.41623926162719727,0.8808689713478088,0.0,1.0,0.3974170110939108,True,8.030324935913086,2.369275599718094,0.9996746634345265,1.0,1.0,-0.49953508377075195,0.8584797978401184,0.37764993205663466,0.0,1.0,0.0,1.0,0.0,0.0,0.009765203878063414,0.01481945705690991
y_00001,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=1 hour|repeat=1,scale=0.3|mult=1.01|t=1 hour|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,1 hour,1 hour,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 1 hour. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 1 hour. What should I choose? Answer in just a few words.,Choose the 3000$ in 1 hour.,Take the $30 now.,1.0,sentence_period,40,I have an offer to take 30$ now or 30.3$ in 1 hour. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,x_now,0.0,x_now,47,37,.,True,281.5264587402344,280.10308837890625,11.093329429626465,0.9992325901985168,30$ now,30.3$ in 1 hour,-6.593266010284424,-1.648316502571106,4,-7.142017841339111,-0.7935575246810913,9,-0.5487518310546875,0.8547589778900146,0.0,1.0,0.3661540421784567,True,8.030324935913086,2.369275599718094,0.9996746634345265,1.0,1.0,-0.49953508377075195,0.8584797978401184,0.37764993205663466,0.0,1.0,0.0,1.0,0.0,0.0,-0.005769936103331246,-0.002462821213481426
y_00002,corrupt_y,low_y_into_high_y,scale=0.3|mult=1.01|t=1 hour|repeat=1,scale=0.3|mult=100|t=1 hour|repeat=1,x_now,y_later,0.0,1.0,0.3,0.3,1.01,100,1 hour,1 hour,30,30.3,30,3000,1,I have an offer to take 30$ now or 30.3$ in 1 hour. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 3000$ in 1 hour. What should I choose? Answer in just a few words.,Take the $30 now.,Choose the 3000$ in 1 hour.,-1.0,question_mark,40,I have an offer to take 30$ now or 3000$ in 1 hour. What should I choose? Answer in just a few words.,Choose the 3000$ in 1 hour.,Choose the 3000$ in 1 hour.,y_later,1.0,y_later,47,30,?,True,224.01290893554688,222.37525939941406,38.30960464477539,0.9852960705757141,30$ now,3000$ in 1 hour,-10.562806129455566,-2.6407015323638916,4,-2.5949878692626953,-0.2883319854736328,9,7.967818260192871,2.352369546890259,1.0,1.0,0.9996536859841358,True,-0.49953508377075195,0.8584797978401184,0.37764993205663466,0.0,1.0,8.030324935913086,2.369275599718094,0.9996746634345265,1.0,1.0,0.0,1.0,0.0,-0.0,0.007327983762450028,0.011190164022709243
y_00002,corrupt_y,low_y_into_high_y,scale=0.3|mult=1.01|t=1 hour|repeat=1,scale=0.3|mult=100|t=1 hour|repeat=1,x_now,y_later,0.0,1.0,0.3,0.3,1.01,100,1 hour,1 hour,30,30.3,30,3000,1,I have an offer to take 30$ now or 30.3$ in 1 hour. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 3000$ in 1 hour. What should I choose? Answer in just a few words.,Take the $30 now.,Choose the 3000$ in 1 hour.,-1.0,sentence_period,40,I have an offer to take 30$ now or 3000$ in 1 hour. What should I choose? Answer in just a few words.,Choose the 3000$ in 1 hour.,Choose the 3000$ in 1 hour.,y_later,1.0,y_later,47,37,.,True,280.10308837890625,281.5264587402344,11.093329429626465,0.9992325901985168,30$ now,3000$ in 1 hour,-10.58607292175293,-2.6465182304382324,4,-2.6025898456573486,-0.2891766428947449,9,7.983483076095581,2.3573415875434875,1.0,1.0,0.9996590668249231,True,-0.49953508377075195,0.8584797978401184,0.37764993205663466,0.0,1.0,8.030324935913086,2.369275599718094,0.9996746634345265,1.0,1.0,0.0,1.0,0.0,-0.0,0.005491515653177283,0.007899156298800872
y_00003,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=30 days|repeat=1,scale=0.3|mult=1.01|t=30 days|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,30 days,30 days,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 30 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 30 days. What should I choose? Answer in just a few words.,Choose 3000$ in 30 days.,Take the $30 now.,1.0,question_mark,40,I have an offer to take 30$ now or 30.3$ in 30 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,x_now,0.0,x_now,48,31,?,True,221.0497589111328,222.59716796875,34.8969841003418,0.9876495599746704,30$ now,30.3$ in 30 days,-5.880147933959961,-1.4700369834899902,4,-6.177703380584717,-0.6177703738212585,10,-0.29755544662475586,0.8522666096687317,0.0,1.0,0.4261551830502918,True,11.234930515289307,3.178998127579689,0.9999867953790809,1.0,1.0,-0.4409823417663574,0.8316053748130798,0.3915069217839764,0.0,1.0,0.0,1.0,0.0,0.0,0.012283998424579693,0.008801780115960898
y_00003,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=30 days|repeat=1,scale=0.3|mult=1.01|t=30 days|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,30 days,30 days,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 30 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 30 days. What should I choose? Answer in just a few words.,Choose 3000$ in 30 days.,Take the $30 now.,1.0,sentence_period,40,I have an offer to take 30$ now or 30.3$ in 30 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,x_now,0.0,x_now,48,38,.,True,282.30548095703125,281.48858642578125,9.960127830505371,0.9993799328804016,30$ now,30.3$ in 30 days,-5.829145431518555,-1.4572863578796387,4,-6.287144660949707,-0.6287145018577576,10,-0.45799922943115234,0.8285718560218811,0.0,1.0,0.3874605694419313,True,11.234930515289307,3.178998127579689,0.9999867953790809,1.0,1.0,-0.4409823417663574,0.8316053748130798,0.3915069217839764,0.0,1.0,0.0,1.0,0.0,0.0,-0.001457435309181136,-0.0012922928161993605
y_00004,corrupt_y,low_y_into_high_y,scale=0.3|mult=1.01|t=30 days|repeat=1,scale=0.3|mult=100|t=30 days|repeat=1,x_now,y_later,0.0,1.0,0.3,0.3,1.01,100,30 days,30 days,30,30.3,30,3000,1,I have an offer to take 30$ now or 30.3$ in 30 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 3000$ in 30 days. What should I choose? Answer in just a few words.,Take the $30 now.,Choose 3000$ in 30 days.,-1.0,question_mark,40,I have an offer to take 30$ now or 3000$ in 30 days. What should I choose? Answer in just a few words.,Choose 3000$ in 30 days.,Choose 3000$ in 30 days.,y_later,1.0,y_later,48,31,?,True,222.59716796875,221.0497589111328,34.8969841003418,0.9876495599746704,30$ now,3000$ in 30 days,-13.595661163330078,-3.3989152908325195,4,-2.454538345336914,-0.2454538345336914,10,11.141122817993164,3.153461456298828,1.0,1.0,0.9999854967431201,True,-0.4409823417663574,0.8316053748130798,0.3915069217839764,0.0,1.0,11.234930515289307,3.178998127579689,0.9999867953790809,1.0,1.0,0.0,1.0,0.0,-0.0,0.00803429234566917,0.010878738230218904
y_00004,corrupt_y,low_y_into_high_y,scale=0.3|mult=1.01|t=30 days|repeat=1,scale=0.3|mult=100|t=30 days|repeat=1,x_now,y_later,0.0,1.0,0.3,0.3,1.01,100,30 days,30 days,30,30.3,30,3000,1,I have an offer to take 30$ now or 30.3$ in 30 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 3000$ in 30 days. What should I choose? Answer in just a few words.,Take the $30 now.,Choose 3000$ in 30 days.,-1.0,sentence_period,40,I have an offer to take 30$ now or 3000$ in 30 days. What should I choose? Answer in just a few words.,Choose 3000$ in 30 days.,Choose 3000$ in 30 days.,y_later,1.0,y_later,48,38,.,True,281.48858642578125,282.30548095703125,9.960127830505371,0.9993799328804016,30$ now,3000$ in 30 days,-13.658624649047852,-3.414656162261963,4,-2.4549367427825928,-0.24549368023872375,10,11.203687906265259,3.169162482023239,1.0,1.0,0.9999863763258198,True,-0.4409823417663574,0.8316053748130798,0.3915069217839764,0.0,1.0,11.234930515289307,3.178998127579689,0.9999867953790809,1.0,1.0,0.0,1.0,0.0,-0.0,0.0026758172492841264,0.004190029787242768
y_00005,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=90 days|repeat=1,scale=0.3|mult=1.01|t=90 days|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,90 days,90 days,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 90 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 90 days. What should I choose? Answer in just a few words.,Choose 3000$ in 90 days.,Take the $30 now.,1.0,question_mark,40,I have an offer to take 30$ now or 30.3$ in 90 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,x_now,0.0,x_now,48,31,?,True,220.10113525390625,222.2194366455078,31.102401733398438,0.9901569485664368,30$ now,30.3$ in 90 days,-5.688511371612549,-1.4221278429031372,4,-9.280037879943848,-0.9280037879943848,10,-3.591526508331299,0.49412405490875244,0.0,1.0,0.026817251049536153,True,8.499688386917114,2.5041095912456512,0.9997965096344607,1.0,1.0,-3.669625759124756,0.48575180768966675,0.02485261224101883,0.0,1.0,0.0,1.0,0.0,0.0,0.006417720000996046,0.004148049115620767
y_00005,corrupt_y,high_y_into_low_y,scale=0.3|mult=100|t=90 days|repeat=1,scale=0.3|mult=1.01|t=90 days|repeat=1,y_later,x_now,1.0,0.0,0.3,0.3,100,1.01,90 days,90 days,30,3000,30,30.3,1,I have an offer to take 30$ now or 3000$ in 90 days. What should I choose? Answer in just a few words.,I have an offer to take 30$ now or 30.3$ in 90 days. What should I choose? Answer in just a few words.,Choose 3000$ in 90 days.,Take the $30 now.,1.0,sentence_period,40,I have an offer to take 30$ now or 30.3$ in 90 days. What should I choose? Answer in just a few words.,Take the $30 now.,Take the $30 now.,x_now,0.0,x_now,48,38,.,True,281.6087341308594,281.032470703125,9.2108154296875,0.9994661211967468,30$ now,30.3$ in 90 days,-5.684985160827637,-1.4212462902069092,4,-9.359395980834961,-0.935939610004425,10,-3.674410820007324,0.48530668020248413,0.0,1.0,0.024736909765361564,True,8.499688386917114,2.5041095912456512,0.9997965096344607,1.0,1.0,-3.669625759124756,0.48575180768966675,0.02485261224101883,0.0,1.0,0.0,1.0,0.0,0.0,-0.0003932071130010827,-0.00022053943597570813
