model,max_context_tokens,version,experiment,global_turn,case_idx,case_followup,turn_type,context_tokens,context_fill,entropy_mean,logprob_mean,entropy_median,entropy_std,hedging_detected,hedge_words,num_hedge_words,refusal_detected,num_generated_tokens,response_preview,correct_answer,correct_answer_idx,model_answer,num_followups,final_context_fill,question_idx
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,0,0,0,answer,356,0.0109,0.6672433768872931,-0.3074433991539799,0.1939067468047142,0.8616382553017119,False,,0,False,300,"Given the patient's recent history of fever, shortness of breath, and the presence of a new systolic","Administer vancomycin 1 g IV every 12 hours, gentamicin 70 mg IV every 8 hours, and rifampin 300 mg IV every 8 hours",B,"Given the patient's recent history of fever, shortness of breath, and the presence of a new systolic ejection murmur, there is a concern for infective endocarditis (IE). The splenomegaly and cool extr",1,0.0109,7848
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,1,1,0,answer,956,0.0292,0.6098172575872487,-0.27044654000322277,0.23572583496570587,0.7913705670967665,True,likely,1,False,300,"Based on the patient's presentation, the most likely diagnosis is deep vein thrombosis (DVT) complic",Heparin/PF4 enzyme-linked immunosorbent assay (ELISA),A,"Based on the patient's presentation, the most likely diagnosis is deep vein thrombosis (DVT) complicated by possible cellulitis or other vascular complications, given her recent initiation of hemodial",1,0.0292,2261
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,2,2,0,answer,1477,0.0451,0.4080604237054711,-0.174258355317013,0.06506379693746567,0.5771470531565088,True,likely,1,False,300,"Based on the patient's history of irregular menstrual cycles, facial acne, and the presence of hirsu",Oral contraceptives,A,"Based on the patient's history of irregular menstrual cycles, facial acne, and the presence of hirsutism and hyperpigmentation, the most likely diagnosis is polycystic ovary syndrome (PCOS). PCOS is a",1,0.0451,819
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,3,3,0,answer,1973,0.0602,0.5751920971578632,-0.2572580821783527,0.2466987520456314,0.7206006873683632,True,might|likely|consider,3,False,300,Given the patient's history of persistent bleeding following a tooth extraction and the absence of a,Epistaxis,A,"Given the patient's history of persistent bleeding following a tooth extraction and the absence of a stable clot, the most likely diagnosis is a coagulation disorder. However, since the patient has no",1,0.0602,9068
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,4,4,0,answer,2412,0.0736,0.6480649249346617,-0.30610954820826514,0.33529040217399597,0.8109308601301531,True,consider,1,False,300,"Given the patient's history of a 35-pack-year smoking history and a family history of lung cancer, i",Low-dose CT scan (LDCT) of the chest,C,"Given the patient's history of a 35-pack-year smoking history and a family history of lung cancer, it is important to consider the risk of lung cancer, especially since he has quit smoking 5 years ago",1,0.0736,1628
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,5,5,0,answer,3128,0.0955,0.5107350214324599,-0.23131926235489725,0.1373213231563568,0.7206259110856595,True,possibly|likely|suggests|suggestive,4,False,300,"Based on the patient's symptoms and examination findings, the most likely diagnosis is ascites secon",The zone closest to the centrolobular vein,C,"Based on the patient's symptoms and examination findings, the most likely diagnosis is ascites secondary to portal hypertension, possibly related to cirrhosis. The patient's history of esophageal vari",1,0.0955,3844
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,6,6,0,answer,3708,0.1132,0.5284539828214252,-0.2330583036202118,0.11679087579250336,0.6922395669927467,True,likely,1,False,300,"Given the patient's history of sudden violent shaking, weight loss, chest pain, and coughing up bloo",Hypertonic saline,D,"Given the patient's history of sudden violent shaking, weight loss, chest pain, and coughing up blood, along with the negative findings on the brain MRI and EEG, the differential diagnosis includes co",1,0.1132,1443
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,7,7,0,answer,4254,0.1298,0.4771895728309021,-0.2089641066065974,0.10272647812962532,0.6803788686056547,True,likely,1,False,300,"Based on the patient's symptoms, physical examination findings, and laboratory results, the most lik",Regular insulin,C,"Based on the patient's symptoms, physical examination findings, and laboratory results, the most likely diagnosis is diabetic ketoacidosis (DKA). The patient's history of increased liquid consumption ",1,0.1298,8938
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,8,8,0,answer,4732,0.1444,0.45489994513629406,-0.19419246538915572,0.08745843544602394,0.6628712363919849,True,possibly|likely|consider,3,False,300,"Given the patient's description of tingling in her fingers and the sensation of smelling sour milk, ",Simple partial,A,"Given the patient's description of tingling in her fingers and the sensation of smelling sour milk, along with her well-controlled type 2 diabetes mellitus, the most likely diagnosis is a transient ne",1,0.1444,8249
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,9,9,0,answer,5257,0.1604,0.4642315054805058,-0.20915524206993025,0.04984085075557232,0.6874008899394808,True,likely|consider,2,False,300,"Given the patient's presentation of severe epigastric pain radiating to the back, vomiting, and a hi",Hematocrit,A,"Given the patient's presentation of severe epigastric pain radiating to the back, vomiting, and a history of excessive alcohol consumption, the most likely diagnosis is acute pancreatitis, particularl",1,0.1604,6111
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,10,10,0,answer,5722,0.1746,0.4521044522434002,-0.19559269991180483,0.051843803375959396,0.6707500757080908,False,,0,False,300,"Given the patient's history of Down syndrome, congenital atrial septal defect, and the current sympt",Bone marrow biopsy,C,"Given the patient's history of Down syndrome, congenital atrial septal defect, and the current symptoms of fever, generalized weakness, fatigue, and musculoskeletal pain, the differential diagnosis in",1,0.1746,10103
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,11,11,0,answer,6343,0.1936,0.3627701422883399,-0.16162724808733248,0.017269701696932316,0.6027969708223108,True,likely,1,False,300,"Given the patient's symptoms of shortness of breath, chronic cough, use of extra pillows at night, a",Smoking cessation alone,B,"Given the patient's symptoms of shortness of breath, chronic cough, use of extra pillows at night, and physical exam findings, the most likely diagnosis is chronic obstructive pulmonary disease (COPD)",1,0.1936,5206
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,12,12,0,answer,6876,0.2098,0.5211416945741643,-0.22688305185375648,0.07544678822159767,0.731404339660143,True,likely|consider,2,False,300,"Given the patient's presentation of severe, sharp periumbilical pain, the most likely diagnoses to c",CT angiography,C,"Given the patient's presentation of severe, sharp periumbilical pain, the most likely diagnoses to consider are acute appendicitis, mesenteric ischemia, or a gastrointestinal perforation. The patient'",1,0.2098,3214
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,13,13,0,answer,7411,0.2262,0.46457861114663407,-0.21208689962402985,0.053175002336502075,0.6950451231209664,True,could be|likely,2,False,300,"Given the patient's history of increasing generalized fatigue, hypertension, hyperlipidemia, type 2 ",Genetic testing,D,"Given the patient's history of increasing generalized fatigue, hypertension, hyperlipidemia, type 2 diabetes mellitus, and the presence of hyperpigmented skin, the most likely diagnosis is primary adr",1,0.2262,7492
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,14,14,0,answer,7926,0.2419,0.37251664886989366,-0.1636857985109531,0.009543927852064371,0.6824357708445413,True,likely|consider,2,False,300,"Given the patient's history of long-standing hypercholesterolemia and hypertension, along with his c",Dehydration,A,"Given the patient's history of long-standing hypercholesterolemia and hypertension, along with his current presentation of altered mental status, confusion, and signs of dehydration, the most likely d",1,0.2419,2891
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,15,15,0,answer,8471,0.2585,0.4994078543014507,-0.23305326703012508,0.06327233649790287,0.7329514203547614,True,likely,1,False,300,"Given the patient's history of rheumatoid arthritis, the use of Penicillamine and Methotrexate, and ",Membranous nephropathy,C,"Given the patient's history of rheumatoid arthritis, the use of Penicillamine and Methotrexate, and the presence of frothy urine, generalized pitting edema, and subcutaneous nodules, the most likely d",1,0.2585,4411
Qwen/Qwen2.5-7B-Instruct,32768,v1,medqa_interactive,16,16,0,answer,8988,0.2743,0.33294916417757764,-0.14514101370633892,0.019657413475215435,0.6195719134135198,True,likely|consider,2,False,300,"Given the patient's symptoms of fatigue, weight loss, abdominal pain, and the presence of a systolic",Leukemoid reaction,C,"Given the patient's symptoms of fatigue, weight loss, abdominal pain, and the presence of a systolic murmur, the most likely diagnoses to consider are heart-related conditions such as heart failure, p",1,0.2743,6816
