depth,probe,ctx_tokens,fill,gold,pred,correct,parsed,response_chars,system_share,system_tokens,system_enrichment,mean_entropy,has_answer,has_supporting,n_symptoms,grounded_fraction,fully_compliant,response,recovery_arm
0,0,333,0.0813,B,C,False,True,564,0.1934510200218824,48.0,1.3420664514018092,0.6610608414303307,True,True,8,0.25,True,"ANSWER: C
SUPPORTING: pain located precisely in 3; radiates to back of head, forehead, nose, temple(R); loss of sense of smell; cough; history of asthma; has polyps in nose; deviated nasal septum; travel history negative

The patient's description of the precise location of the pain (3) and its radiation to specific areas such as the back of the head, forehead, nose, and temple on the right side, along with the loss of sense of smell and the presence of a cough, are indicative of a condition that typically presents with such symptoms. These findings are more",
0,1,332,0.0811,C,B,False,True,190,0.19267381726172061,48.0,1.3326605693935676,0.3481252200989123,True,True,2,0.5,True,"ANSWER: B
SUPPORTING: symptoms that are increased with physical exertion but alleviated with rest; pain characterized as a ""knife stroke"" in the side of the chest (R) with an intensity of 7.",
0,2,414,0.1011,A,D,False,True,455,0.18366860470089463,48.0,1.5841417155452162,0.5108974045735812,True,True,2,1.0,True,"ANSWER: D
SUPPORTING: Overweight; high cholesterol
List at least two findings from the patient's description that support your answer.
1. The patient is significantly overweight, which can be a risk factor for developing GERD due to increased abdominal pressure on the stomach.
2. The patient has high cholesterol, which can contribute to the development of atherosclerosis, a condition that can lead to GERD by causing the esophageal sphincter to weaken.",
0,3,282,0.0688,D,D,True,True,530,0.20176735393513923,48.0,1.185383204368943,0.5295034996832718,False,True,2,1.0,False,"D) Bronchiectasis
Supporting: Cough that produces colored or more abundant sputum than usual; shortness of breath
List at least two findings from the patient's description that support your answer.
1. The patient has a chronic cough that produces colored or more abundant sputum than usual, which is a classic symptom of bronchiectasis.
2. The patient reports significant shortness of breath, a symptom that can be exacerbated in bronchiectasis due to the chronic lung infections and airway damage that characterize the condition.",
0,4,540,0.1318,A,B,False,True,423,0.18044848351077292,48.0,2.0300454394961953,0.5376637496392584,True,True,2,1.0,True,"ANSWER: B
SUPPORTING: diarrhea; increase in stool frequency
List at least two findings from the patient's description that support your answer.
The patient reported having diarrhea and an increase in stool frequency, which are common symptoms of an allergic reaction, particularly in the context of anaphylaxis. Additionally, the patient has a known severe food allergy, which further supports the diagnosis of anaphylaxis.",
0,5,333,0.0813,D,D,True,True,523,0.19520801222596162,48.0,1.3542555848176088,0.3961545251552211,True,True,2,0.5,True,"ANSWER: D
SUPPORTING: pain that is increased when you breathe in deeply; symptoms worsen when lying down and are alleviated while sitting up
List at least two findings from the patient's description that support your answer.
1. Pain that is increased when breathing in deeply is a classic symptom of pericarditis.
2. Symptoms worsening when lying down and being alleviated while sitting up suggest positional discomfort, which can be associated with pericarditis, particularly when fluid accumulates in the pericardial sac.",
0,6,499,0.1218,C,C,True,True,418,0.18004444202346548,48.0,1.8717120118689432,0.30451794290077083,True,True,2,1.0,True,"ANSWER: C
SUPPORTING: Yes — Have you ever had a sexually transmitted infection; Yes — Is currently using intravenous drugs
List at least two findings from the patient's description that support your answer.
1. The patient has a history of sexually transmitted infections, which is a risk factor for HIV.
2. The patient is currently using intravenous drugs, a significant risk factor for HIV infection and transmission.",
0,7,318,0.0776,E,C,False,True,533,0.19549422512696424,48.0,1.295149241466138,0.5472590837050894,True,True,2,0.5,True,"ANSWER: C
SUPPORTING: dizziness; shortness of breath
List at least two findings from the patient's description that support your answer.
1. The patient reports feeling slightly dizzy, which aligns with a cardiovascular cause such as atrial fibrillation, given the presence of dizziness alongside shortness of breath.
2. The description of shortness of breath in a significant way further supports a cardiovascular etiology, as this symptom is commonly associated with conditions affecting heart function, such as atrial fibrillation.",
0,8,289,0.0706,C,C,True,True,312,0.19867165041247858,48.0,1.1961688951917981,0.27125585034568106,True,True,2,1.0,True,"ANSWER: C
SUPPORTING: cough; shortness of breath
List at least two findings from the patient's description that support your answer.
1. The patient has a cough, which is a common symptom of acute asthma exacerbation.
2. The patient reports significant shortness of breath, a hallmark symptom of an asthma attack.",
0,9,373,0.0911,A,B,False,True,386,0.1901063183537559,48.0,1.4772845155406449,0.5841552895928124,True,True,2,0.5,True,"ANSWER: B
SUPPORTING: Has a cough; has a history of asthma
List at least two findings from the patient's description that support your answer.
The patient reports a cough, which is a common symptom associated with bronchitis. Additionally, the patient has a history of asthma, suggesting underlying respiratory issues that could contribute to the current presentation of cough and pain.",
0,10,313,0.0764,D,C,False,True,332,0.19486336091512158,48.0,1.2706714993006887,0.3635264633033592,True,True,2,1.0,True,"ANSWER: C
SUPPORTING: nasal congestion; clear runny nose
List at least two findings from the patient's description that support your answer.
1. The patient reports nasal congestion, a classic symptom of bronchitis.
2. The patient also mentions a clear runny nose, which can be associated with respiratory infections like bronchitis.",
