train_regime,feature_name,vector_key,layer,direction,rank,token_id,decoded_stripped,score
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,positive,1,56802,mor,0.09716796875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,positive,2,4040,deter,0.09130859375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,positive,3,1941,ook,0.0908203125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,positive,4,57541,abus,0.08984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,positive,5,64746,jes,0.08984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,positive,6,55319,jug,0.08349609375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,positive,7,95531,soap,0.08251953125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,positive,8,43364,slide,0.0791015625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,positive,9,10273,rub,0.07861328125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,positive,10,72187,nerd,0.076171875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,negative,1,19319,uras,-0.1015625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,negative,2,1475,ased,-0.08984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,negative,3,74770,active,-0.0869140625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,negative,4,34538,bach,-0.0859375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,negative,5,31799,inactive,-0.0859375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,negative,6,28582,aho,-0.08349609375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,negative,7,56982,ibu,-0.08349609375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,negative,8,34456,uristic,-0.07958984375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,negative,9,93458,bose,-0.0791015625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,24,negative,10,37120,ulatory,-0.0771484375
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,positive,1,32842,orf,0.0966796875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,positive,2,9376,eg,0.08544921875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,positive,3,14118,oft,0.08154296875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,positive,4,64746,jes,0.078125
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,positive,5,86886,ctl,0.07666015625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,positive,6,67412,coat,0.07666015625
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,positive,7,80010,overrides,0.076171875
explicit_train_only,mean_answer_tokens,wmm_probe_vectors,28,positive,8,12660,ova,0.0751953125
