probe,arm,comp_spans,comp_tokens,comp_share_alllayer,closed_tokens,ctx_tokens,context_fill,pathology,gold,pred,correct,parsed,mean_entropy,response
0,near_dup,32,139,0.0037981802252664075,0,3349,0.8176,Viral pharyngitis,E,D,False,True,0.31192548872905945,D
0,near_dup_comp_close,32,139,0.0037981802252664075,139,3349,0.8176,Viral pharyngitis,E,D,False,True,0.156449406891511,D) URTI
0,near_dup_rand_close,32,139,0.0037981802252664075,139,3349,0.8176,Viral pharyngitis,E,D,False,True,0.3482257063946008,D
0,random,32,139,0.0037981802252664075,0,2990,0.73,Viral pharyngitis,E,D,False,True,0.27781564532779157,D
1,near_dup,27,126,0.005172477486922754,0,2938,0.7173,Croup,A,A,True,True,0.0791122102411265,A) Croup
1,near_dup_comp_close,27,126,0.005172477486922754,126,2938,0.7173,Croup,A,A,True,True,0.006192355972598307,A) Croup
1,near_dup_rand_close,27,126,0.005172477486922754,126,2938,0.7173,Croup,A,A,True,True,0.020067449678799677,A) Croup
1,random,27,126,0.005172477486922754,0,2899,0.7078,Croup,A,A,True,True,0.3014165980389407,A
2,near_dup,28,92,0.002008063169589114,0,2320,0.5664,Tuberculosis,B,B,True,True,0.05896237710840069,B
2,near_dup_comp_close,28,92,0.002008063169589114,92,2320,0.5664,Tuberculosis,B,B,True,True,0.1911220696772034,B) Tuberculosis
2,near_dup_rand_close,28,92,0.002008063169589114,92,2320,0.5664,Tuberculosis,B,B,True,True,0.17451267025899142,B
2,random,28,92,0.002008063169589114,0,2773,0.677,Tuberculosis,B,B,True,True,0.0021191408741287887,B
4,near_dup,24,64,0.0013393750216108898,0,3754,0.9165,Anaphylaxis,B,B,True,True,0.042474500592732056,B
4,near_dup_comp_close,24,64,0.0013393750216108898,64,3754,0.9165,Anaphylaxis,B,B,True,True,0.05493780231094141,B) Anaphylaxis
4,near_dup_rand_close,24,64,0.0013393750216108898,64,3754,0.9165,Anaphylaxis,B,B,True,True,0.05633336903736108,B
4,random,24,64,0.0013393750216108898,0,3037,0.7415,Anaphylaxis,B,B,True,True,0.0010573532370869998,B
5,near_dup,32,135,0.003407438763043168,0,3106,0.7583,Acute COPD exacerbation / infection,C,C,True,True,0.12726295477719063,C
5,near_dup_comp_close,32,135,0.003407438763043168,135,3106,0.7583,Acute COPD exacerbation / infection,C,C,True,True,0.03166115492389177,C) Acute COPD exacerbation / infection
5,near_dup_rand_close,32,135,0.003407438763043168,135,3106,0.7583,Acute COPD exacerbation / infection,C,C,True,True,0.22395419877282308,C
5,random,32,135,0.003407438763043168,0,2854,0.6968,Acute COPD exacerbation / infection,C,C,True,True,0.028849603561248216,C
6,near_dup,24,106,0.002835908641709581,0,2722,0.6646,GERD,E,E,True,True,0.07221986760310983,E
6,near_dup_comp_close,24,106,0.002835908641709581,106,2722,0.6646,GERD,E,E,True,True,0.16752255988776596,E) GERD
6,near_dup_rand_close,24,106,0.002835908641709581,106,2722,0.6646,GERD,E,E,True,True,0.12762838929739928,E
6,random,24,106,0.002835908641709581,0,3275,0.7996,GERD,E,E,True,True,0.10126035021028201,E
7,near_dup,29,113,0.0032990567803045682,0,3223,0.7869,HIV (initial infection),A,A,True,True,0.0666354684859698,A) HIV (initial infection)
7,near_dup_comp_close,29,113,0.0032990567803045682,113,3223,0.7869,HIV (initial infection),A,A,True,True,0.010183057187305167,A) HIV (initial infection)
7,near_dup_rand_close,29,113,0.0032990567803045682,113,3223,0.7869,HIV (initial infection),A,A,True,True,0.03794253567384942,A) HIV (initial infection)
7,random,29,113,0.0032990567803045682,0,3032,0.7402,HIV (initial infection),A,A,True,True,0.0375300232481095,A) HIV (initial infection)
8,near_dup,32,164,0.004704845770077071,0,3362,0.8208,Unstable angina,C,D,False,True,0.009483005473157391,D
8,near_dup_comp_close,32,164,0.004704845770077071,164,3362,0.8208,Unstable angina,C,D,False,True,0.03237138461582845,D) Possible NSTEMI / STEMI
8,near_dup_rand_close,32,164,0.004704845770077071,164,3362,0.8208,Unstable angina,C,D,False,True,0.0772798178368248,D
8,random,32,164,0.004704845770077071,0,3190,0.7788,Unstable angina,C,D,False,True,0.005378797730372753,D
9,near_dup,25,81,0.001814890289227729,0,2911,0.7107,Scombroid food poisoning,B,B,True,True,0.011848341670486207,B
9,near_dup_comp_close,25,81,0.001814890289227729,81,2911,0.7107,Scombroid food poisoning,B,B,True,True,0.042329195301249456,B) Scombroid food poisoning
9,near_dup_rand_close,25,81,0.001814890289227729,81,2911,0.7107,Scombroid food poisoning,B,B,True,True,0.02564631445136456,B
9,random,25,81,0.001814890289227729,0,2931,0.7156,Scombroid food poisoning,B,B,True,True,0.0028575612268184614,B
10,near_dup,32,107,0.0029649879527161764,0,2741,0.6692,Atrial fibrillation,A,A,True,True,0.10510983690619469,A
10,near_dup_comp_close,32,107,0.0029649879527161764,107,2741,0.6692,Atrial fibrillation,A,A,True,True,0.011938426375763811,A) Atrial fibrillation
10,near_dup_rand_close,32,107,0.0029649879527161764,107,2741,0.6692,Atrial fibrillation,A,A,True,True,0.3138092181404958,"A) Atrial fibrillation

Given the symptoms of very irregular heartbeat, palpitations, shortness of breath, and dizziness, along with a history of"
10,random,32,107,0.0029649879527161764,0,3075,0.7507,Atrial fibrillation,A,A,True,True,0.15232916921377182,A
12,near_dup,25,94,0.0020884766571025136,0,2899,0.7078,Pulmonary embolism,C,C,True,True,0.00342935748653872,C
