dataset,probe_variant,condition,layer,strength,signed_strength,raw_vector_norm,steering_vector_norm,prompt_idx,question,immediate,long_term,prompt,result_source,reused_from_path,continuation,parsed_letter,parsed_semantic,parse_method,fallback_used,score_a,score_b,immediate_sum_logprob,immediate_avg_logprob,immediate_token_count,long_term_sum_logprob,long_term_avg_logprob,long_term_token_count,long_minus_immediate_sum_logprob,long_minus_immediate_avg_logprob,logprob_prefers_long_term
implicit_full,mm,steer_immediate,48,2.0,-2.0,76.5350570678711,1.0,0,"When the system fails, the first priority becomes", (A) containing the spreading damage before it escalates, (B) redesigning the architecture to prevent recurrence,"When the system fails, the first priority becomes
Options:
  containing the spreading damage before it escalates
  redesigning the architecture to prevent recurrence
  Answer:
",computed_now,,Answer: **containing the spreading damage before it escalates**,A,choose_immediate,literal_exact_stripped,False,3507.0,0.0,-18.196168899536133,-2.021796464920044,9,-27.972219467163086,-3.4965274333953857,8,-9.776050567626953,-1.4747309684753418,0.0
implicit_full,mm,steer_immediate,48,2.0,-2.0,76.5350570678711,1.0,1,The hospital administrator directs resources toward, (B) stabilizing patients in critical condition, (A) training staff and upgrading medical equipment,"The hospital administrator directs resources toward
Options:
  training staff and upgrading medical equipment
  stabilizing patients in critical condition
  Answer:
",computed_now,,Answer: **training staff and upgrading medical equipment**,A,choose_long_term,literal_exact_stripped,False,3506.0,0.0,-19.162487030029297,-2.7374982833862305,7,-13.834628105163574,-2.3057713508605957,6,5.327858924865723,0.43172693252563477,1.0
implicit_full,mm,steer_immediate,48,2.0,-2.0,76.5350570678711,1.0,2,"After the data breach, the security team focuses on", (A) isolating compromised systems and revoking access, (B) implementing zero-trust architecture across networks,"After the data breach, the security team focuses on
Options:
  isolating compromised systems and revoking access
  implementing zero-trust architecture across networks
  Answer:
",computed_now,,Answer: **isolating compromised systems and revoking access**,A,choose_immediate,literal_exact_stripped,False,3506.0,0.0,-18.399564743041992,-2.299945592880249,8,-25.962139129638672,-3.245267391204834,8,-7.56257438659668,-0.945321798324585,0.0
implicit_full,mm,steer_immediate,48,2.0,-2.0,76.5350570678711,1.0,3,The fire chief's directive emphasizes, (B) evacuating residents and containing the blaze, (A) updating building codes and fire prevention programs,"The fire chief's directive emphasizes
Options:
  updating building codes and fire prevention programs
  evacuating residents and containing the blaze
  Answer:
",computed_now,,Answer: **updating building codes and fire prevention programs**,A,choose_long_term,literal_exact_stripped,False,3507.0,0.0,-25.540491104125977,-3.192561388015747,8,-14.18111515045166,-2.0258736610412598,7,11.359375953674316,1.1666877269744873,1.0
implicit_full,mm,steer_immediate,48,2.0,-2.0,76.5350570678711,1.0,4,"During economic turbulence, the CFO recommends", (A) freezing expenditures and preserving cash reserves, (B) diversifying revenue streams and reducing dependencies,"During economic turbulence, the CFO recommends
Options:
  freezing expenditures and preserving cash reserves
  diversifying revenue streams and reducing dependencies
  Answer:
",computed_now,,Answer: **freezing expenditures and preserving cash reserves**,A,choose_immediate,literal_exact_stripped,False,3506.0,0.0,-24.281633377075195,-3.4688048362731934,7,-27.586139678955078,-3.4482674598693848,8,-3.304506301879883,0.020537376403808594,1.0
implicit_full,mm,steer_immediate,48,2.0,-2.0,76.5350570678711,1.0,5,The emergency response coordinator prioritizes, (B) deploying rescue teams to affected areas, (A) establishing early warning systems and shelters,"The emergency response coordinator prioritizes
Options:
  establishing early warning systems and shelters
  deploying rescue teams to affected areas
  Answer:
",computed_now,,Answer: **establishing early warning systems and shelters**,A,choose_long_term,literal_exact_stripped,False,3506.0,0.0,-13.239667892456055,-1.8913812637329102,7,-13.849047660827637,-1.9784355163574219,7,-0.609379768371582,-0.08705425262451172,0.0
implicit_full,mm,steer_immediate,48,2.0,-2.0,76.5350570678711,1.0,6,"When the supply chain breaks, management chooses", (A) finding alternative suppliers for critical components, (B) building redundant supplier networks and local capacity,"When the supply chain breaks, management chooses
Options:
  finding alternative suppliers for critical components
  building redundant supplier networks and local capacity
  Answer:
",computed_now,,"When the supply chain breaks, management chooses:

**Answer:**  
**building redundant supplier networks and local capacity**

This approach helps mitigate future disruptions by diversifying sources",B,choose_long_term,literal_exact_stripped,False,0.0,3507.0,-23.42340660095215,-3.9039011001586914,6,-23.502159118652344,-3.3574514389038086,7,-0.07875251770019531,0.5464496612548828,1.0
implicit_full,mm,steer_immediate,48,2.0,-2.0,76.5350570678711,1.0,7,The IT director's incident response involves, (B) rolling back changes and restoring service availability, (A) implementing automated testing and deployment safeguards,"The IT director's incident response involves
Options:
  implementing automated testing and deployment safeguards
  rolling back changes and restoring service availability
  Answer:
",computed_now,,Answer: **rolling back changes and restoring service availability**,B,choose_immediate,literal_exact_stripped,False,0.0,3507.0,-14.442106246948242,-2.0631580352783203,7,-22.895042419433594,-3.2707204818725586,7,-8.452936172485352,-1.2075624465942383,0.0
implicit_full,mm,steer_immediate,48,2.0,-2.0,76.5350570678711,1.0,8,"After the product recall, the quality team targets", (A) identifying and removing defective units from circulation, (B) redesigning quality control processes and supplier audits,"After the product recall, the quality team targets
Options:
  identifying and removing defective units from circulation
  redesigning quality control processes and supplier audits
  Answer:
",computed_now,,Answer: **identifying and removing defective units from circulation**,A,choose_immediate,literal_exact_stripped,False,3507.0,0.0,-18.47107696533203,-2.308884620666504,8,-23.533544540405273,-2.6148383617401123,9,-5.062467575073242,-0.3059537410736084,0.0
implicit_full,mm,steer_immediate,48,2.0,-2.0,76.5350570678711,1.0,9,The school principal's response to the incident involves, (B) ensuring student safety and communicating with parents, (A) revising safety protocols and staff training programs,"The school principal's response to the incident involves
Options:
  revising safety protocols and staff training programs
  ensuring student safety and communicating with parents
  Answer:
",computed_now,,Answer: **ensuring student safety and communicating with parents**,B,choose_immediate,literal_exact_stripped,False,0.0,3507.0,-15.064006805419922,-1.8830008506774902,8,-15.89271068572998,-1.7658567428588867,9,-0.8287038803100586,0.11714410781860352,1.0
