grid_row_id,amount_scale_factor,amount_scale_factor_text,base_x_now,base_x_now_text,base_y_later,base_y_later_text,x_now,x_now_text,y_later,y_later_text,amount_multiplier,amount_multiplier_text,t_delay,time_delay_format,repeat_idx,user_pov,prompt_format,prompt,response,response_for_parse,thinking_trace_removed_for_parse,choice,choice_binary,patch_layer,prompt_len,question_mark_token_idx,question_mark_token_text,sentence_period_token_idx,sentence_period_token_text,baseline_candidate_immediate_text,baseline_candidate_delayed_text,baseline_immediate_sum_logprob,baseline_immediate_avg_logprob,baseline_immediate_token_count,baseline_delayed_sum_logprob,baseline_delayed_avg_logprob,baseline_delayed_token_count,baseline_delayed_minus_immediate_sum_logprob,baseline_delayed_minus_immediate_avg_logprob,baseline_forced_choice_prefers_delayed_sum,baseline_forced_choice_prefers_delayed_avg,baseline_forced_choice_p_delayed_from_sum,baseline_forced_choice_patch_applied
scale=0.3|mult=1|t=1 day|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,1 day,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 1 day. What should I choose? Answer in just a few words.,Take it now.,Take it now.,False,x_now,0.0,40,45,28,?,35,.,30$ now,30$ in 1 day,-8.245039939880371,-2.0612599849700928,4,-16.000247955322266,-2.285749912261963,7,-7.7552080154418945,-0.22448992729187012,0.0,0.0,0.00042832152031347027,False
scale=0.3|mult=1|t=1 hour|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,1 hour,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 1 hour. What should I choose? Answer in just a few words.,Take it now.,Take it now.,False,x_now,0.0,40,45,28,?,35,.,30$ now,30$ in 1 hour,-8.77082633972168,-2.19270658493042,4,-16.618606567382812,-2.374086856842041,7,-7.847780227661133,-0.1813802719116211,0.0,0.0,0.000390465566917725,False
scale=0.3|mult=1|t=1095 days|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,1095 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 1095 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,0.0,40,48,31,?,38,.,30$ now,30$ in 1095 days,-9.698053359985352,-2.424513339996338,4,-18.54404067993164,-1.854404091835022,10,-8.845987319946289,0.5701092481613159,0.0,1.0,0.0001439375162017327,False
scale=0.3|mult=1|t=1825 days|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,1825 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 1825 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,0.0,40,48,31,?,38,.,30$ now,30$ in 1825 days,-9.419417381286621,-2.3548543453216553,4,-17.76555824279785,-1.7765558958053589,10,-8.34614086151123,0.5782984495162964,0.0,1.0,0.0002372542649745342,False
scale=0.3|mult=1|t=2 days|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,2 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 2 days. What should I choose? Answer in just a few words.,Take it now.,Take it now.,False,x_now,0.0,40,45,28,?,35,.,30$ now,30$ in 2 days,-7.956706523895264,-1.989176630973816,4,-16.02099609375,-2.2887139320373535,7,-8.064289569854736,-0.2995373010635376,0.0,0.0,0.0003144755916334279,False
scale=0.3|mult=1|t=30 days|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,30 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 30 days. What should I choose? Answer in just a few words.,Take the money now.,Take the money now.,False,x_now,0.0,40,46,29,?,36,.,30$ now,30$ in 30 days,-7.152688980102539,-1.7881722450256348,4,-14.591527938842773,-1.8239409923553467,8,-7.438838958740234,-0.035768747329711914,0.0,0.0,0.0005876219532950899,False
scale=0.3|mult=1|t=365 days|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,365 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 365 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,0.0,40,47,30,?,37,.,30$ now,30$ in 365 days,-9.741179466247559,-2.4352948665618896,4,-19.837705612182617,-2.2041895389556885,9,-10.096526145935059,0.23110532760620117,0.0,1.0,4.122080853446902e-05,False
scale=0.3|mult=1|t=3650 days|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,3650 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 3650 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,0.0,40,48,31,?,38,.,30$ now,30$ in 3650 days,-8.799043655395508,-2.199760913848877,4,-18.520593643188477,-1.8520593643188477,10,-9.721549987792969,0.3477015495300293,0.0,1.0,5.997336787930277e-05,False
scale=0.3|mult=1|t=7 days|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,7 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 7 days. What should I choose? Answer in just a few words.,Take it now.,Take it now.,False,x_now,0.0,40,45,28,?,35,.,30$ now,30$ in 7 days,-6.224734783172607,-1.5561836957931519,4,-13.52174186706543,-1.9316774606704712,7,-7.297007083892822,-0.37549376487731934,0.0,0.0,0.0006771048530556545,False
scale=0.3|mult=1|t=730 days|repeat=1,0.3,0.3,100,100,100,100,30,30,30.0,30,1.0,1,730 days,day_counts,1,True,user_pov_time_utility_question,I have an offer to take 30$ now or 30$ in 730 days. What should I choose? Answer in just a few words.,Take the 30$ now.,Take the 30$ now.,False,x_now,0.0,40,47,30,?,37,.,30$ now,30$ in 730 days,-9.257033348083496,-2.314258337020874,4,-19.05478286743164,-2.1171982288360596,9,-9.797749519348145,0.19706010818481445,0.0,1.0,5.557344413171257e-05,False
