arm,depth,probe,ctx_tokens,fill,gold,pred,correct,parsed,response_chars,mean_entropy,has_answer,has_supporting,n_symptoms,grounded_fraction,fully_compliant,response
install_last_a1,0,0,333,0.0813,B,C,False,True,481,0.5197574885293613,False,True,2,0.0,False,"C) Cluster headache
Supporting: pain characterized as sharp; pain radiates to the back of head and forehead
List at least two findings from the patient's description that support your answer.
1. The patient describes the pain as ""sharp,"" which is a characteristic symptom of cluster headaches.
2. The pain radiates to the back of the head and forehead, which is a typical feature of cluster headaches but less common in other types of headaches like migraines or tension headaches."
install_last_a1,0,1,332,0.0811,C,,False,False,119,0.5852563149656816,False,True,2,0.0,False,"B: Stable angina
Supporting: Symptoms increased with physical exertion but alleviated with rest; recent viral infection"
install_last_a1,0,2,414,0.1011,A,E,False,True,520,0.5982476119352349,False,True,2,0.5,False,"E) Guillain-Barré syndrome

SUPPORTING: shortness of breath; progressive weakness

List at least two findings from the patient's description that support your answer.
1. The patient reports significant shortness of breath, which is a key symptom of Guillain-Barré syndrome, particularly when associated with progressive weakness.
2. The progressive weakness described by the patient aligns with the typical presentation of Guillain-Barré syndrome, where patients often experience ascending or descending muscle weakness."
install_last_a1,0,3,282,0.0688,D,D,True,True,653,0.5218021878264198,False,True,2,1.0,False,"D) Bronchiectasis
Supporting: Cough that produces colored or more abundant sputum than usual; shortness of breath
List at least two findings from the patient's description that support your answer.
1. The patient's history of cystic fibrosis directly links to the development of bronchiectasis, as cystic fibrosis is a genetic disorder that predominantly affects the lungs, causing progressive damage that leads to bronchiectasis.
2. The presence of shortness of breath supports the diagnosis of bronchiectasis, as this symptom is a common and significant finding in patients with bronchiectasis, indicating airway obstruction and impaired gas exchange."
install_last_a1,0,4,540,0.1318,A,E,False,True,402,0.3883510928989902,False,True,2,1.0,False,"E) Acute pulmonary edema

SUPPORTING: shortness of breath; difficulty breathing

List at least two findings from the patient's description that support your answer.
1. The patient reports significant shortness of breath, which is a key symptom of acute pulmonary edema.
2. The patient also mentions difficulty breathing, another critical symptom that aligns with the diagnosis of acute pulmonary edema."
install_last_a1,0,5,333,0.0813,D,D,True,True,344,0.3439519594679029,False,True,2,0.5,False,"D) Pericarditis
SUPPORTING: chest pain; shortness of breath
List at least two findings from the patient's description that support your answer.
1. The patient reports pain that is increased when breathing in deeply, a classic symptom of pericarditis.
2. The patient experiences shortness of breath, another symptom consistent with pericarditis."
install_last_a1,0,6,499,0.1218,C,C,True,True,78,0.35969250426311,False,True,2,0.5,False,"C) HIV (initial infection)
SUPPORTING: swollen or painful lymph nodes; fatigue"
install_last_a1,0,7,318,0.0776,E,C,False,True,499,0.5240447519754035,False,True,2,0.5,False,"C) Atrial fibrillation
Supporting: shortness of breath; dizziness
List at least two findings from the patient's description that support your answer.
1. The patient reports significant shortness of breath, which is a common symptom of atrial fibrillation, especially when it leads to decreased cardiac output.
2. The patient also mentions feeling slightly dizzy or lightheaded, which can be associated with the irregular heart rhythm and potential drop in blood pressure seen in atrial fibrillation."
install_last_a1,0,8,289,0.0706,C,C,True,True,383,0.32938625829198526,False,True,2,1.0,False,"C) Bronchospasm / acute asthma exacerbation
Supporting: cough; shortness of breath
List at least two findings from the patient's description that support your answer.
1. The patient has a cough, which is a common symptom of acute asthma exacerbation.
2. The patient reports shortness of breath, a significant symptom that strongly supports the diagnosis of acute asthma exacerbation."
install_last_a1,0,9,373,0.0911,A,B,False,True,415,0.6408150362949037,False,True,2,0.5,False,"B) Cluster headache
SUPPORTING: cough; loss of sense of smell
List at least two findings from the patient's description that support your answer.
1. The patient reports a cough, which can be a symptom of cluster headaches, especially when associated with nasal symptoms.
2. The loss of sense of smell (anosmia) is a common symptom in patients with cluster headaches, often due to inflammation of the nasal passages."
install_last_a1,0,10,313,0.0764,D,E,False,True,369,0.44384146645825845,False,True,2,1.0,False,"E) Cluster headache
SUPPORTING: nasal congestion; clear runny nose
List at least two findings from the patient's description that support your answer.
1. The patient reports nasal congestion, a classic symptom of cluster headache.
2. The patient also mentions a clear runny nose, which can be associated with the nasal discharge often seen in cluster headache patients."
install_last_a1,0,11,367,0.0896,C,C,True,True,332,0.3126654035833375,False,True,2,1.0,False,"C) Pericarditis
Supporting: palpitations; shortness of breath
List at least two findings from the patient's description that support your answer.
1. The patient reports palpitations, which is a common symptom of pericarditis.
2. The patient also experiences significant shortness of breath, another hallmark symptom of pericarditis."
