x_now,y_later,t_delay,repeat_idx,prompt,response,response_for_parse,thinking_trace_removed_for_parse,choice,time_delay_format,user_pov,prompt_format
100,100,1 day,1,I have an offer to take 100$ now or 100$ in 1 day. What should I choose? Answer in just a few words.,Take it now.,Take it now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,7 days,1,I have an offer to take 100$ now or 100$ in 7 days. What should I choose? Answer in just a few words.,Take the money now.,Take the money now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,30 days,1,I have an offer to take 100$ now or 100$ in 30 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,365 days,1,I have an offer to take 100$ now or 100$ in 365 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,730 days,1,I have an offer to take 100$ now or 100$ in 730 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,1095 days,1,I have an offer to take 100$ now or 100$ in 1095 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,1825 days,1,I have an offer to take 100$ now or 100$ in 1825 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,100,3650 days,1,I have an offer to take 100$ now or 100$ in 3650 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,1 day,1,I have an offer to take 100$ now or 101$ in 1 day. What should I choose? Answer in just a few words.,Take $101 in 1 day.,Take $101 in 1 day.,False,y_later,day_counts,True,user_pov_time_utility_question
100,101,7 days,1,I have an offer to take 100$ now or 101$ in 7 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,30 days,1,I have an offer to take 100$ now or 101$ in 30 days. What should I choose? Answer in just a few words.,Take $100 now.,Take $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,365 days,1,I have an offer to take 100$ now or 101$ in 365 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,730 days,1,I have an offer to take 100$ now or 101$ in 730 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,1095 days,1,I have an offer to take 100$ now or 101$ in 1095 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,1825 days,1,I have an offer to take 100$ now or 101$ in 1825 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,101,3650 days,1,I have an offer to take 100$ now or 101$ in 3650 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,1 day,1,I have an offer to take 100$ now or 110$ in 1 day. What should I choose? Answer in just a few words.,Take the 110$ in 1 day.,Take the 110$ in 1 day.,False,y_later,day_counts,True,user_pov_time_utility_question
100,110,7 days,1,I have an offer to take 100$ now or 110$ in 7 days. What should I choose? Answer in just a few words.,Take the 110$ in 7 days.,Take the 110$ in 7 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,110,30 days,1,I have an offer to take 100$ now or 110$ in 30 days. What should I choose? Answer in just a few words.,"It depends on the interest rate you can earn in 30 days. If you can earn more than ~3.3% in that time, take the $100 now. Otherwise, take the $110 in 30 days.","It depends on the interest rate you can earn in 30 days. If you can earn more than ~3.3% in that time, take the $100 now. Otherwise, take the $110 in 30 days.",False,y_later,day_counts,True,user_pov_time_utility_question
100,110,365 days,1,I have an offer to take 100$ now or 110$ in 365 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,730 days,1,I have an offer to take 100$ now or 110$ in 730 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,1095 days,1,I have an offer to take 100$ now or 110$ in 1095 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,1825 days,1,I have an offer to take 100$ now or 110$ in 1825 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,110,3650 days,1,I have an offer to take 100$ now or 110$ in 3650 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,1 day,1,I have an offer to take 100$ now or 150$ in 1 day. What should I choose? Answer in just a few words.,Take the 150$ in 1 day.,Take the 150$ in 1 day.,False,y_later,day_counts,True,user_pov_time_utility_question
100,150,7 days,1,I have an offer to take 100$ now or 150$ in 7 days. What should I choose? Answer in just a few words.,Take the 150$ in 7 days.,Take the 150$ in 7 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,150,30 days,1,I have an offer to take 100$ now or 150$ in 30 days. What should I choose? Answer in just a few words.,"It depends on your financial needs and the opportunity cost. If you can invest the $100 and earn more than a 50% return in 30 days, take the $100. Otherwise, take the $150.","It depends on your financial needs and the opportunity cost. If you can invest the $100 and earn more than a 50% return in 30 days, take the $100. Otherwise, take the $150.",False,y_later,day_counts,True,user_pov_time_utility_question
100,150,365 days,1,I have an offer to take 100$ now or 150$ in 365 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,730 days,1,I have an offer to take 100$ now or 150$ in 730 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,1095 days,1,I have an offer to take 100$ now or 150$ in 1095 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,1825 days,1,I have an offer to take 100$ now or 150$ in 1825 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,150,3650 days,1,I have an offer to take 100$ now or 150$ in 3650 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,1 day,1,I have an offer to take 100$ now or 200$ in 1 day. What should I choose? Answer in just a few words.,Take the 200$ in 1 day.,Take the 200$ in 1 day.,False,y_later,day_counts,True,user_pov_time_utility_question
100,200,7 days,1,I have an offer to take 100$ now or 200$ in 7 days. What should I choose? Answer in just a few words.,Take the 200$ in 7 days.,Take the 200$ in 7 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,200,30 days,1,I have an offer to take 100$ now or 200$ in 30 days. What should I choose? Answer in just a few words.,"It depends on your financial needs and the interest rate you could earn on $100 in 30 days. If you can invest the $100 and earn more than ~7% in a month, take it now. Otherwise, take $200 in 30 days.","It depends on your financial needs and the interest rate you could earn on $100 in 30 days. If you can invest the $100 and earn more than ~7% in a month, take it now. Otherwise, take $200 in 30 days.",False,y_later,day_counts,True,user_pov_time_utility_question
100,200,365 days,1,I have an offer to take 100$ now or 200$ in 365 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,730 days,1,I have an offer to take 100$ now or 200$ in 730 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,1095 days,1,I have an offer to take 100$ now or 200$ in 1095 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,1825 days,1,I have an offer to take 100$ now or 200$ in 1825 days. What should I choose? Answer in just a few words.,Take the 100$ now.,Take the 100$ now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,200,3650 days,1,I have an offer to take 100$ now or 200$ in 3650 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,500,1 day,1,I have an offer to take 100$ now or 500$ in 1 day. What should I choose? Answer in just a few words.,Take the 500$ in 1 day.,Take the 500$ in 1 day.,False,y_later,day_counts,True,user_pov_time_utility_question
100,500,7 days,1,I have an offer to take 100$ now or 500$ in 7 days. What should I choose? Answer in just a few words.,Take the 500$ in 7 days.,Take the 500$ in 7 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,500,30 days,1,I have an offer to take 100$ now or 500$ in 30 days. What should I choose? Answer in just a few words.,"It depends on your financial needs and the interest rate you could earn on $100 in 30 days. If you can invest the $100 at a rate higher than ~40% in 30 days, take it now. Otherwise, take the $500.","It depends on your financial needs and the interest rate you could earn on $100 in 30 days. If you can invest the $100 at a rate higher than ~40% in 30 days, take it now. Otherwise, take the $500.",False,y_later,day_counts,True,user_pov_time_utility_question
100,500,365 days,1,I have an offer to take 100$ now or 500$ in 365 days. What should I choose? Answer in just a few words.,Take the 500$ in 365 days.,Take the 500$ in 365 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,500,730 days,1,I have an offer to take 100$ now or 500$ in 730 days. What should I choose? Answer in just a few words.,Take the 500$ in 730 days.,Take the 500$ in 730 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,500,1095 days,1,I have an offer to take 100$ now or 500$ in 1095 days. What should I choose? Answer in just a few words.,Take the 500$ in 1095 days.,Take the 500$ in 1095 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,500,1825 days,1,I have an offer to take 100$ now or 500$ in 1825 days. What should I choose? Answer in just a few words.,Take the 500$ in 1825 days.,Take the 500$ in 1825 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,500,3650 days,1,I have an offer to take 100$ now or 500$ in 3650 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,1000,1 day,1,I have an offer to take 100$ now or 1000$ in 1 day. What should I choose? Answer in just a few words.,Take the 1000$ in 1 day.,Take the 1000$ in 1 day.,False,y_later,day_counts,True,user_pov_time_utility_question
100,1000,7 days,1,I have an offer to take 100$ now or 1000$ in 7 days. What should I choose? Answer in just a few words.,Take the 1000$ in 7 days.,Take the 1000$ in 7 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,1000,30 days,1,I have an offer to take 100$ now or 1000$ in 30 days. What should I choose? Answer in just a few words.,Take the 1000$ in 30 days.,Take the 1000$ in 30 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,1000,365 days,1,I have an offer to take 100$ now or 1000$ in 365 days. What should I choose? Answer in just a few words.,Take the $1000 in 365 days.,Take the $1000 in 365 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,1000,730 days,1,I have an offer to take 100$ now or 1000$ in 730 days. What should I choose? Answer in just a few words.,Take the $1000 in 730 days.,Take the $1000 in 730 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,1000,1095 days,1,I have an offer to take 100$ now or 1000$ in 1095 days. What should I choose? Answer in just a few words.,Take the $1000 in 1095 days.,Take the $1000 in 1095 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,1000,1825 days,1,I have an offer to take 100$ now or 1000$ in 1825 days. What should I choose? Answer in just a few words.,Take the $1000 in 1825 days.,Take the $1000 in 1825 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,1000,3650 days,1,I have an offer to take 100$ now or 1000$ in 3650 days. What should I choose? Answer in just a few words.,Take the $100 now.,Take the $100 now.,False,x_now,day_counts,True,user_pov_time_utility_question
100,10000,1 day,1,I have an offer to take 100$ now or 10000$ in 1 day. What should I choose? Answer in just a few words.,Take the 10000$ in 1 day.,Take the 10000$ in 1 day.,False,y_later,day_counts,True,user_pov_time_utility_question
100,10000,7 days,1,I have an offer to take 100$ now or 10000$ in 7 days. What should I choose? Answer in just a few words.,Choose 10000$ in 7 days.,Choose 10000$ in 7 days.,False,y_later,day_counts,True,user_pov_time_utility_question
100,10000,30 days,1,I have an offer to take 100$ now or 10000$ in 30 days. What should I choose? Answer in just a few words.,Choose 10000$ in 30 days.,Choose 10000$ in 30 days.,False,y_later,day_counts,True,user_pov_time_utility_question
